arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,alpha_W_med_l2
SWA1u,3,0.001,1,none,0.9676229167,1,1,0,0,-0.8526565433,1.981235862,-4.027952194,0.3585857749,76.91362443,0,0,1.788060069,1.84751451,0.1487183571,0.8220029473,43.80048105,4.540354252,2.12328887,2.923205137,0.5198085308,0.2659233212,0.9243237972,0,1,0.5582990646,0.4071972966,0.7391436696,0,1
SWA1u,3,0.001,2,none,0.9570916667,1,1,0,0,-3.396854401,4.426086903,-17.46247864,0.2177401781,58.7573499,0,0,-7.563294888,7.175708294,-17.3136425,0.1997722089,62.81923093,7.701314926,3.29583621,4.486201286,0.2311308682,0.1209324375,0.4562245309,0,1,0.1435290724,0.07295822352,0.230787456,0,1
SWA1u,3,0.001,3,none,0.9589895833,1,1,0,0,-2.406042576,6.168033123,-14.95470238,0.365239501,53.83698932,0,0,-28.4856472,14.52076912,-68.63113403,-0.01830180548,59.21827868,10.84598446,4.550848007,5.404201508,0.1668974012,0.08733659238,0.2967637479,0,1,0.07032869011,0.0348915793,0.1112109125,0,1
SWA1u,3,0.001,4,none,0.9448333333,1,1,0,0,-4.303916454,7.602077961,-25.06064987,0.2938513756,52.62935446,0,0,-57.66183472,19.92626572,-141.1498413,-0.0649740994,41.08366949,14.26914215,5.518852234,5.618371487,0.1347569227,0.06524333358,0.2105486095,0,1,0.0513667129,0.02305111289,0.08056394756,0,1
SWA1u,3,0.001,5,none,0.9149145833,1,1,0,0,-7.361563206,9.18017292,-31.22018623,0.2441816479,66.55326003,0,0,-50.3576889,15.94698334,-79.28298187,-0.06402338296,45.66064483,18.07829857,6.226953983,5.712388992,0.1094255373,0.05241098627,0.2604950964,0,1,0.06474130601,0.04268418252,0.09553886205,0,1
SWA1u,3,0.001,6,none,0.8781145833,1,1,0,0,-13.01176548,12.11204052,-44.98096466,0.1543884426,72.13745406,0,0,-46.77822113,14.45273876,-100.0046844,-0.06254787743,49.81465271,22.54727745,6.911020279,5.427467346,0.08547496796,0.05086994171,0.2551992834,0,1,0.07100781053,0.04353675246,0.09358467162,0,1
SWA1u,3,0.001,7,none,0.8315375,1,1,0,0,-14.95552254,14.67392254,-63.00388718,0.154847309,17.65138968,0,0,-721.59198,176.1520538,-1272.797241,-0.05495757982,5.118899052,26.7503624,8.417298317,4.909154892,0.06964758784,0.03569776192,0.1339981407,0,1,0.005677175242,0.003108694218,0.02965715341,0,1
SWA1u,3,0.001,8,none,0.7417958333,0.9616666436,0.9616666436,0,0,-21.51313019,17.91176987,-90.27329254,0.09930613637,6.819085135,0,0,-1889.972534,520.7985229,-3962.69458,-0.06248474121,2.198185377,31.17585182,9.56573391,4.860449791,0.05758655071,0.01408223435,0.1164725348,0,1,0.001971497666,0.00091786962,0.03928488865,0,1
SWA1u,3,0.001,9,none,0.6648020833,0.9300000072,0.9300000072,0,0,-26.25247383,19.57874298,-69.83009338,0.07171747088,4.389384614,0,0,-2985.355713,863.2565918,-6815.70166,-0.06461574882,1.716096824,35.23123932,10.52876377,4.711669445,0.05199437588,0.008687403053,0.08373580873,0,1,0.00118403649,0.000517919194,0.03011807613,0,1
SWA1u,3,0.001,10,none,0.5916833333,0.7724999785,0.7724999785,0,0,-33.22154999,22.95999146,-83.71029663,0.04692103341,3.352451916,0,0,-3949.52832,1157.305298,-11109.49316,-0.06541208923,1.4991303,39.26306152,11.47219563,4.618360519,0.04498079419,0.007106455974,0.08497487754,0,1,0.000888393959,0.0003135669976,0.04311465472,0,1
SWA1u,3,0.001,11,none,0.5300770833,0.7533333302,0.7533333302,0,0,-41.05350113,25.48808098,-93.32718658,0.02600837126,2.82555604,0,0,-6065.83252,1787.355469,-14469.37988,-0.0661379844,1.387993497,43.37863922,12.31462765,4.524587631,0.04011862352,0.005495247897,0.07834316045,0,1,0.0005757214385,0.0002380363148,0.002289381111,0,1
SWA1u,3,0.001,12,none,0.4841354167,0.665833354,0.665833354,0,0,-43.35505676,26.9169426,-103.9124298,0.01973616704,2.602307619,0,0,-7031.404785,2123.022217,-18759.62109,-0.06641090661,1.330713171,47.22768021,13.11543655,4.495697975,0.03805778921,0.004645350855,0.06797882915,0,1,0.0004862904898,0.0001821944752,0.004528208636,0,1
SWA1u,3,0.001,13,none,0.47045625,0.7325000167,0.7325000167,0,0,-48.10403061,29.42143822,-131.0319672,0.01858570613,2.485302848,0,0,-8042.184082,2403.049561,-24753.63281,-0.06682521105,1.305001166,50.30556107,13.64294529,4.541555882,0.03464679047,0.004111603834,0.05911232904,0,1,0.0004250014608,0.0001364620402,0.02295655757,0,1
SWA1u,3,0.001,14,none,0.4301645833,0.7616666555,0.7616666555,0,0,-53.99457169,32.8705864,-143.317337,0.01011802815,2.275235118,0,0,-11515.12207,3471.626953,-25922.96289,-0.06713233888,1.249708478,53.58602524,14.56790543,4.379667282,0.03136133403,0.003403063864,0.0504408069,0,1,0.0002922003041,0.0001297758135,0.00128964032,0,1
