arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,alpha_W_med_l2
SWA3,2,0.001,1,none,0.9729041667,1,1,0,0,-0.5931577086,1.713057637,-6.132780075,0.3613805771,79.31170457,0,0,1.275461316,1.6048944,-2.214743137,0.819845736,49.94988092,3.940208197,2.065803766,2.945464849,1.798779964,0.883286953,2.903129578,0,3,1.933332682,1.364748359,2.382796526,0,3
SWA3,2,0.001,2,none,0.96274375,1,1,0,0,-4.551040173,2.753720284,-11.17961693,0.009320322424,55.34908139,0,0,0.5932876468,1.882617474,-4.673149586,0.6645990014,56.9425268,6.341094494,4.211802006,6.478321075,1.117327452,0.6061814427,1.704150796,0,3,1.62642467,0.5926185846,2.361388445,0,3
SWA3,2,0.001,3,none,0.9510916667,0.9683333039,0.9683333039,0,0,-6.918580532,3.569693804,-13.08724022,-0.01335595734,39.08360081,0,0,0.982011497,1.322922468,-10.10549831,0.9039471149,45.0157059,8.416396141,6.14379549,9.554135323,0.8818511367,0.5510035157,1.611973763,0,3,2.322525024,0.3702426851,3.669811964,0,3
SWA3,2,0.001,4,none,0.93571875,1,1,0,0,-8.988769531,4.143326759,-15.63805008,-0.01688952185,67.81920421,0,0,0.6150272489,0.9892281294,-1.604902148,0.8433071971,51.36727175,9.827377319,6.770032883,11.17654324,0.7426762581,0.4534829855,1.30719471,0,3,3.09384656,0.6106843352,4.716993332,0,3
SWA3,2,0.001,5,none,0.9444291667,1,1,0,0,-10.86676884,4.835118294,-22.33840752,-0.01621987484,46.0771121,0,0,0.2713853121,1.153776765,-10.11466312,0.6393002868,53.99071128,11.17215538,7.396702766,12.54152012,0.6338537931,0.3110592067,1.335018754,0,3,2.706974983,0.2609403133,4.099723816,0,3
SWA3,2,0.001,6,none,0.92991875,1,1,0,0,-12.46382713,5.338715076,-28.93727493,-0.01581756957,37.95147334,0,0,-0.4472546279,1.31613493,-17.52655602,0.3784523904,57.38716855,12.42428398,7.951864243,13.17130756,0.5777431726,0.2987059355,1.066592336,0,3,2.35249567,0.2007006109,4.227580547,0,3
SWA3,2,0.001,7,none,0.9346208333,1,1,0,0,-12.81631851,5.727822781,-21.11627197,-0.01703882217,37.95094064,0,0,-1.173460841,2.005556345,-18.76794243,0.2746717334,61.66464616,13.57702637,8.792142868,15.56923676,0.5400143862,0.2964695394,0.9591817856,0,3,1.478025198,0.181049794,3.041876316,0,3
SWA3,2,0.001,8,none,0.9283770833,1,1,0,0,-12.7909193,6.008949757,-23.79942703,-0.01796126366,25.99673444,0,0,-3.408397913,2.854827166,-34.61250687,0.03562745452,59.38863533,15.44674587,9.692497253,18.93818092,0.511190176,0.2175337076,0.8298888803,0,3,1.046390891,0.150880903,2.140162468,0,3
SWA3,2,0.001,9,none,0.91774375,1,1,0,0,-12.89094543,6.571142673,-24.30303764,-0.01605927199,30.58405636,0,0,-4.094023705,2.782037497,-39.86480331,0.002452427056,62.07255472,17.19361496,10.55305767,26.63946724,0.4703392982,0.2582843602,0.8410050869,0,3,1.11360085,0.1578530669,1.99490881,0,3
SWA3,2,0.001,10,none,0.8697645833,1,1,0,0,-12.8262043,6.400728703,-25.23664284,-0.01454990543,33.83217629,0,0,-4.800727844,2.342533827,-32.45815659,-0.007467539981,53.02518444,19.23321724,11.30141735,35.51390457,0.4753405452,0.2647562027,0.9084054232,0,3,1.315371037,0.2198848724,2.256058693,0,3
SWA3,2,0.001,11,none,0.80529375,0.9983333349,0.9983333349,0,0,-13.15621281,6.425031185,-23.90815353,-0.01443914697,28.11953665,0,0,-4.931340694,2.3556633,-33.93379593,-0.01250610873,38.2332697,20.60436821,11.65245152,45.27396774,0.4632664323,0.2443220615,0.8027259111,0,3,1.313803196,0.1918562204,2.39241147,0,3
