width,seed,start_step,step,end_offset,post_switch,dead_change,positive_dead_change,positive_label_units,net_label_units
5,0,10000.0,11000,1000,True,0.2,0.2,1.0,1.0
5,0,11000.0,12000,2000,False,0.0,0.0,0.0,0.0
5,0,12000.0,13000,3000,False,0.0,0.0,0.0,0.0
5,0,13000.0,14000,4000,False,0.0,0.0,0.0,0.0
5,0,14000.0,15000,5000,False,0.0,0.0,0.0,0.0
5,0,15000.0,16000,6000,False,0.0,0.0,0.0,0.0
5,0,16000.0,17000,7000,False,0.0,0.0,0.0,0.0
5,0,17000.0,18000,8000,False,0.0,0.0,0.0,0.0
5,0,18000.0,19000,9000,False,0.0,0.0,0.0,0.0
5,0,19000.0,20000,0,False,0.0,0.0,0.0,0.0
5,0,20000.0,21000,1000,True,0.0,0.0,0.0,0.0
5,0,21000.0,22000,2000,False,0.0,0.0,0.0,0.0
5,0,22000.0,23000,3000,False,0.0,0.0,0.0,0.0
5,0,23000.0,24000,4000,False,0.0,0.0,0.0,0.0
5,0,24000.0,25000,5000,False,0.0,0.0,0.0,0.0
5,0,25000.0,26000,6000,False,0.0,0.0,0.0,0.0
5,0,26000.0,27000,7000,False,0.0,0.0,0.0,0.0
5,0,27000.0,28000,8000,False,0.0,0.0,0.0,0.0
5,0,28000.0,29000,9000,False,0.0,0.0,0.0,0.0
5,0,29000.0,30000,0,False,0.0,0.0,0.0,0.0
5,0,30000.0,31000,1000,True,0.2,0.2,1.0,1.0
5,0,31000.0,32000,2000,False,-0.2,0.0,0.0,-1.0
5,0,32000.0,33000,3000,False,0.0,0.0,0.0,0.0
5,0,33000.0,34000,4000,False,0.0,0.0,0.0,0.0
5,0,34000.0,35000,5000,False,0.2,0.2,1.0,1.0
5,0,35000.0,36000,6000,False,-0.2,0.0,0.0,-1.0
5,0,36000.0,37000,7000,False,0.2,0.2,1.0,1.0
5,0,37000.0,38000,8000,False,0.0,0.0,0.0,0.0
5,0,38000.0,39000,9000,False,0.0,0.0,0.0,0.0
5,0,39000.0,40000,0,False,0.0,0.0,0.0,0.0
5,0,40000.0,41000,1000,True,-0.2,0.0,0.0,-1.0
5,0,41000.0,42000,2000,False,0.0,0.0,0.0,0.0
5,0,42000.0,43000,3000,False,0.0,0.0,0.0,0.0
5,0,43000.0,44000,4000,False,0.0,0.0,0.0,0.0
5,0,44000.0,45000,5000,False,0.0,0.0,0.0,0.0
5,0,45000.0,46000,6000,False,0.0,0.0,0.0,0.0
5,0,46000.0,47000,7000,False,0.0,0.0,0.0,0.0
5,0,47000.0,48000,8000,False,0.0,0.0,0.0,0.0
5,0,48000.0,49000,9000,False,0.0,0.0,0.0,0.0
5,0,49000.0,50000,0,False,0.0,0.0,0.0,0.0
5,0,50000.0,51000,1000,True,0.0,0.0,0.0,0.0
5,0,51000.0,52000,2000,False,0.0,0.0,0.0,0.0
5,0,52000.0,53000,3000,False,0.0,0.0,0.0,0.0
5,0,53000.0,54000,4000,False,0.0,0.0,0.0,0.0
5,0,54000.0,55000,5000,False,0.0,0.0,0.0,0.0
5,0,55000.0,56000,6000,False,0.0,0.0,0.0,0.0
5,0,56000.0,57000,7000,False,0.0,0.0,0.0,0.0
5,0,57000.0,58000,8000,False,0.0,0.0,0.0,0.0
5,0,58000.0,59000,9000,False,0.0,0.0,0.0,0.0
5,0,59000.0,60000,0,False,0.0,0.0,0.0,0.0
5,0,60000.0,61000,1000,True,-0.2,0.0,0.0,-1.0
5,0,61000.0,62000,2000,False,0.2,0.2,1.0,1.0
5,0,62000.0,63000,3000,False,-0.2,0.0,0.0,-1.0
5,0,63000.0,64000,4000,False,0.2,0.2,1.0,1.0
5,0,64000.0,65000,5000,False,-0.2,0.0,0.0,-1.0
5,0,65000.0,66000,6000,False,0.0,0.0,0.0,0.0
5,0,66000.0,67000,7000,False,0.0,0.0,0.0,0.0
5,0,67000.0,68000,8000,False,0.0,0.0,0.0,0.0
5,0,68000.0,69000,9000,False,0.0,0.0,0.0,0.0
5,0,69000.0,70000,0,False,0.0,0.0,0.0,0.0
5,0,70000.0,71000,1000,True,0.0,0.0,0.0,0.0
5,0,71000.0,72000,2000,False,0.0,0.0,0.0,0.0
5,0,72000.0,73000,3000,False,0.2,0.2,1.0,1.0
5,0,73000.0,74000,4000,False,0.0,0.0,0.0,0.0
5,0,74000.0,75000,5000,False,0.0,0.0,0.0,0.0
5,0,75000.0,76000,6000,False,0.0,0.0,0.0,0.0
5,0,76000.0,77000,7000,False,-0.2,0.0,0.0,-1.0
5,0,77000.0,78000,8000,False,0.2,0.2,1.0,1.0
5,0,78000.0,79000,9000,False,0.0,0.0,0.0,0.0
5,0,79000.0,80000,0,False,0.0,0.0,0.0,0.0
5,0,80000.0,81000,1000,True,0.0,0.0,0.0,0.0
5,0,81000.0,82000,2000,False,0.0,0.0,0.0,0.0
5,0,82000.0,83000,3000,False,0.0,0.0,0.0,0.0
5,0,83000.0,84000,4000,False,0.0,0.0,0.0,0.0
5,0,84000.0,85000,5000,False,0.0,0.0,0.0,0.0
5,0,85000.0,86000,6000,False,0.0,0.0,0.0,0.0
5,0,86000.0,87000,7000,False,0.0,0.0,0.0,0.0
5,0,87000.0,88000,8000,False,0.0,0.0,0.0,0.0
5,0,88000.0,89000,9000,False,0.0,0.0,0.0,0.0
5,0,89000.0,90000,0,False,0.0,0.0,0.0,0.0
5,0,90000.0,91000,1000,True,0.0,0.0,0.0,0.0
5,0,91000.0,92000,2000,False,0.0,0.0,0.0,0.0
5,0,92000.0,93000,3000,False,0.0,0.0,0.0,0.0
5,0,93000.0,94000,4000,False,0.0,0.0,0.0,0.0
5,0,94000.0,95000,5000,False,0.0,0.0,0.0,0.0
5,0,95000.0,96000,6000,False,0.0,0.0,0.0,0.0
5,0,96000.0,97000,7000,False,0.0,0.0,0.0,0.0
5,0,97000.0,98000,8000,False,0.0,0.0,0.0,0.0
5,0,98000.0,99000,9000,False,0.0,0.0,0.0,0.0
5,0,99000.0,100000,0,False,0.0,0.0,0.0,0.0
5,0,100000.0,101000,1000,True,0.0,0.0,0.0,0.0
5,0,101000.0,102000,2000,False,0.0,0.0,0.0,0.0
5,0,102000.0,103000,3000,False,0.0,0.0,0.0,0.0
5,0,103000.0,104000,4000,False,0.0,0.0,0.0,0.0
5,0,104000.0,105000,5000,False,0.0,0.0,0.0,0.0
5,0,105000.0,106000,6000,False,0.0,0.0,0.0,0.0
5,0,106000.0,107000,7000,False,0.2,0.2,1.0,1.0
5,0,107000.0,108000,8000,False,0.0,0.0,0.0,0.0
5,0,108000.0,109000,9000,False,0.0,0.0,0.0,0.0
5,0,109000.0,110000,0,False,0.0,0.0,0.0,0.0
5,0,110000.0,111000,1000,True,-0.2,0.0,0.0,-1.0
5,0,111000.0,112000,2000,False,0.0,0.0,0.0,0.0
5,0,112000.0,113000,3000,False,0.0,0.0,0.0,0.0
5,0,113000.0,114000,4000,False,0.0,0.0,0.0,0.0
5,0,114000.0,115000,5000,False,0.0,0.0,0.0,0.0
5,0,115000.0,116000,6000,False,0.0,0.0,0.0,0.0
5,0,116000.0,117000,7000,False,0.0,0.0,0.0,0.0
5,0,117000.0,118000,8000,False,0.0,0.0,0.0,0.0
5,0,118000.0,119000,9000,False,0.0,0.0,0.0,0.0
5,0,119000.0,120000,0,False,0.0,0.0,0.0,0.0
5,0,120000.0,121000,1000,True,0.0,0.0,0.0,0.0
5,0,121000.0,122000,2000,False,0.2,0.2,1.0,1.0
5,0,122000.0,123000,3000,False,-0.2,0.0,0.0,-1.0
5,0,123000.0,124000,4000,False,0.0,0.0,0.0,0.0
5,0,124000.0,125000,5000,False,0.0,0.0,0.0,0.0
5,0,125000.0,126000,6000,False,0.0,0.0,0.0,0.0
5,0,126000.0,127000,7000,False,0.0,0.0,0.0,0.0
5,0,127000.0,128000,8000,False,0.0,0.0,0.0,0.0
5,0,128000.0,129000,9000,False,0.0,0.0,0.0,0.0
5,0,129000.0,130000,0,False,0.0,0.0,0.0,0.0
5,0,130000.0,131000,1000,True,0.0,0.0,0.0,0.0
5,0,131000.0,132000,2000,False,0.0,0.0,0.0,0.0
5,0,132000.0,133000,3000,False,0.0,0.0,0.0,0.0
5,0,133000.0,134000,4000,False,0.0,0.0,0.0,0.0
5,0,134000.0,135000,5000,False,0.0,0.0,0.0,0.0
5,0,135000.0,136000,6000,False,0.0,0.0,0.0,0.0
5,0,136000.0,137000,7000,False,0.0,0.0,0.0,0.0
5,0,137000.0,138000,8000,False,0.0,0.0,0.0,0.0
5,0,138000.0,139000,9000,False,0.0,0.0,0.0,0.0
