arm,seed,window,t1_online,t1_memo,T_A,tasks,diverged
LE_ref,0,0.0992635416665,0.8841666667,0.8408333659,3,50,False
LE_ref,1,0.0999455208325,0.8763479167,1.0,3,50,False
LE_ref,2,0.1021973958385,0.8694145833,1.0,3,50,False
LE_ref,3,0.100626875007,0.8715895833,1.0,3,50,False
LE_ref,4,0.09941020833,0.8672208333,1.0,3,50,False
LE_ref,5,0.09965218749900001,0.8621145833,1.0,3,50,False
LE_ref,6,0.101025520826,0.8826666667,1.0,3,50,False
LE_ref,7,0.099627812503,0.8718770833,1.0,3,50,False
LE_ref,8,0.10049385416050001,0.8681708333,1.0,3,50,False
LE_ref,9,0.10045687499599998,0.8781895833,1.0,3,50,False
LL_ref,0,0.7300790625,0.8731104167,1.0,0,50,False
LL_ref,1,0.73318552084,0.8610729167,1.0,0,50,False
LL_ref,2,0.7226511458299999,0.8500625,1.0,0,50,False
LL_ref,3,0.730316145835,0.8601604167,1.0,0,50,False
LL_ref,4,0.7292014583349999,0.8453895833,1.0,0,50,False
LL_ref,5,0.726245625,0.8631770833,1.0,0,50,False
LL_ref,6,0.7283779166600001,0.86686875,1.0,0,50,False
LL_ref,7,0.7201820833300001,0.8666145833,1.0,0,50,False
LL_ref,8,0.72705520833,0.8586854167,1.0,0,50,False
LL_ref,9,0.72261052083,0.864075,1.0,0,50,False
LE_sw75,0,0.0992641666665,0.8787,0.9766666889,3,50,False
LE_sw75,1,0.0999455208325,0.880275,1.0,3,50,False
LE_sw75,2,0.1021972916735,0.8607833333,1.0,3,50,False
LE_sw75,3,0.100626979172,0.8662854167,1.0,3,50,False
LE_sw75,4,0.09941020833,0.862925,1.0,3,50,False
LE_sw75,5,0.09965187499750001,0.8741854167,1.0,3,50,False
LE_sw75,6,0.101025416666,0.8725729167,1.0,3,50,False
LE_sw75,7,0.099628437503,0.8628875,1.0,3,50,False
LE_sw75,8,0.10122312499799999,0.86459375,0.9875000119,3,50,False
LE_sw75,9,0.10045687499599998,0.87384375,1.0,3,50,False
LE_md75,0,0.09926385416649999,0.88683125,1.0,3,50,False
LE_md75,1,0.099945729166,0.8827708333,1.0,3,50,False
LE_md75,2,0.1021975000035,0.8704458333,1.0,2,50,False
LE_md75,3,0.10063822917200001,0.8697104167,1.0,3,50,False
LE_md75,4,0.09941020833,0.8664854167,1.0,2,50,False
LE_md75,5,0.09965218749900001,0.8597666667,0.8925000429,3,50,False
LE_md75,6,0.1010253124945,0.877125,1.0,3,50,False
LE_md75,7,0.099628125003,0.87129375,1.0,3,50,False
LE_md75,8,0.100415416665,0.86820625,1.0,3,50,False
LE_md75,9,0.10045666666099999,0.87491875,0.9533333778,3,50,False
LE_sw750,0,0.17574010415999997,0.8567875,1.0,8,50,False
LE_sw750,1,0.185565520835,0.8766666667,1.0,7,50,False
LE_sw750,2,0.16871364584,0.8471270833,1.0,9,50,False
LE_sw750,3,0.19024520832999997,0.8500645833,1.0,8,50,False
LE_sw750,4,0.208020104165,0.8493375,1.0,10,50,False
LE_sw750,5,0.155743229165,0.8414625,1.0,8,50,False
LE_sw750,6,0.18071229167,0.8658916667,1.0,10,50,False
LE_sw750,7,0.181470729165,0.8464354167,1.0,7,50,False
LE_sw750,8,0.160290833335,0.8288979167,1.0,4,50,False
LE_sw750,9,0.16063677083,0.8582520833,1.0,9,50,False
LE_md750,0,0.09926406249950001,0.8833375,1.0,3,50,False
LE_md750,1,0.099945520833,0.8802270833,1.0,3,50,False
LE_md750,2,0.1021972916735,0.86713125,1.0,3,50,False
LE_md750,3,0.100626979172,0.8723875,1.0,3,50,False
LE_md750,4,0.09940968749700001,0.8644479167,0.8783333302,3,50,False
LE_md750,5,0.09965197916900001,0.8680020833,1.0,3,50,False
LE_md750,6,0.10102520833100001,0.87954375,1.0,2,50,False
LE_md750,7,0.099627812503,0.86709375,1.0,3,50,False
LE_md750,8,0.100250312492,0.869725,1.0,3,50,False
LE_md750,9,0.100456874993,0.8832104167,1.0,3,50,False
LE_sw7500,0,0.28730010416499996,0.6376083333,1.0,13,50,False
LE_sw7500,1,0.27260468749499994,0.6358083333,1.0,13,50,False
LE_sw7500,2,0.27259770833,0.6262729167,1.0,14,50,False
LE_sw7500,3,0.26365958334500006,0.6339125,1.0,14,50,False
LE_sw7500,4,0.27474177084,0.6266958333,1.0,13,50,False
LE_sw7500,5,0.25543447917,0.6459229167,0.8883333802,15,50,False
LE_sw7500,6,0.25522958332499995,0.64473125,1.0,13,50,False
LE_sw7500,7,0.28895572917499995,0.6465270833,1.0,13,50,False
LE_sw7500,8,0.27096385417,0.6216291667,1.0,15,50,False
LE_sw7500,9,0.25874510417,0.57916875,1.0,14,50,False
LE_md7500,0,0.0992640624995,0.894225,1.0,3,50,False
LE_md7500,1,0.0999455208325,0.8910395833,1.0,3,50,False
LE_md7500,2,0.10219760416850002,0.8862708333,1.0,3,50,False
LE_md7500,3,0.10062729167199999,0.8716583333,1.0,2,50,False
LE_md7500,4,0.09940968749700001,0.8678666667,1.0,3,50,False
LE_md7500,5,0.09965197916900001,0.8793833333,1.0,3,50,False
LE_md7500,6,0.10111416666600001,0.8931979167,1.0,3,50,False
