act,arm,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,wt_q10_l1,wt_med_l1,wt_q90_l1,wt_max_l1,wt_ratio0_med_l1,rowmean_abs_med_l1,b_med_l1,exceed_t1_frac_l1,exceed_2x0_frac_l1,bind_frac_l1,proj_rows_l1,proj_removed_l1,wt_q10_l2,wt_med_l2,wt_q90_l2,wt_max_l2,wt_ratio0_med_l2,rowmean_abs_med_l2,b_med_l2,exceed_t1_frac_l2,exceed_2x0_frac_l2,bind_frac_l2,proj_rows_l2,proj_removed_l2
LR,cap2,0,0.001,6,1,0.90933125,1,1,0,0,-0.2407536805,0.5051072836,-0.7139295936,0.3894999623,83.06159684,0,0,0.3829044998,0.2775889635,0.1320961416,0.9310000539,36.5715618,1.161335826,1.198864818,7.602944851,0,1.131784135,1.149959596,1.173257468,1.201425889,1.999999978,0.004141017802,0.03906985745,0,0,0.99,2615514,1376.098356,1.067855321,1.144623476,1.214739801,1.261554844,2.000000007,0.03179592961,0.1263654009,0,0,1,2321441,411.1084744
LR,cap2,0,0.001,6,2,0.8992125,0.9966666698,0.9966666698,0,0,-0.5148041844,0.5554770231,-1.504143834,0.2507499754,82.97606222,0,0,0.1431451142,0.2651736438,-0.0424178727,0.74575001,56.35994314,1.165767431,1.199427366,11.46266651,0,1.131784122,1.14988599,1.173023914,1.201426025,1.999999859,0.005395106796,0.01947019994,0.01,0,0.77,2548709,1242.452446,1.067849248,1.144623475,1.214735748,1.261554876,1.999999941,0.02770060592,0.1448189169,0,0,0.78,2082791,245.4322556
LR,cap2,0,0.001,6,3,0.9095458333,0.8774999976,0.8774999976,0,0,-0.6899936199,0.6065927148,-1.719007611,0.1997499913,76.47224561,0,0,-0.03257972375,0.2853992283,-0.3231683969,0.5162500143,66.92306858,1.171984196,1.206254363,14.17926693,0,1.1317841,1.149959618,1.173258361,1.201425711,1.999999962,0.006903951454,0.01863751002,0.01,0,0.99,2520211,1149.310179,1.056643046,1.143180253,1.21176748,1.255909242,1.999305593,0.03563214422,0.0952918008,0,0,0.47,1820792,213.1694105
LR,cap2,0,0.001,6,4,0.9106979167,1,1,0,0,-0.4292614758,0.5600036979,-1.966987967,0.2912499607,71.49983577,0,0,0.1733718514,0.3268013299,-0.05884414539,0.7277499437,58.45454396,1.169484735,1.213632941,17.06125641,0,1.131784028,1.149959526,1.173256707,1.201426046,1.999999946,0.006887066779,0.0517364908,0.01,0,0.99,2518061,1031.76904,1.067855235,1.144623476,1.214739784,1.261554746,1.999999972,0.0370344344,0.07699442655,0,0,0.98,1864376,187.7380385
LR,cap2,0,0.001,6,5,0.9061375,1,1,0,0,-0.4312651455,0.5342121124,-2.353042841,0.2717499733,79.43671059,0,0,0.1153002307,0.2854766846,-0.1786343753,0.6849999428,59.56468325,1.179152966,1.210436702,19.14714241,0,1.131784212,1.149959533,1.173258781,1.201425929,1.999999958,0.008102113917,0.109203998,0.01,0,0.95,2625787,1164.716963,1.067855347,1.1446234,1.214739754,1.261554813,1.999999984,0.03721764058,0.06517959759,0,0,0.99,1805322,169.2784213
LR,cap2,0,0.001,6,6,0.8987708333,1,1,0,0,-0.5014132261,0.5590144396,-2.342885971,0.2642499804,81.43885579,0,0,0.06273596734,0.3131148815,-0.2662068307,0.625,63.2907189,1.170018077,1.231036782,21.1294136,0,1.13175494,1.149959557,1.173258588,1.20142583,1.999999923,0.00733450449,0.1369960681,0.01,0,0.99,2562363,1150.932501,1.067855356,1.144617936,1.21473981,1.261554825,1.99999997,0.03849252731,0.03089847323,0,0,0.96,1785209,173.5287106
LR,cap2,0,0.001,6,7,0.9068479167,0.9908333421,0.9908333421,0,0,-0.5487990975,0.5772196651,-1.458753109,0.2394999713,82.14275337,0,0,-0.03335219249,0.3098938167,-0.6369771957,0.4982499778,68.88983271,1.174020767,1.226086378,22.74577332,0,1.131769129,1.149708855,1.173258499,1.201425841,1.99999984,0.007266244559,0.1234568171,0.01,0,0.73,2494755,1091.790796,1.067774448,1.14385088,1.214739722,1.257445386,1.999618635,0.03920631899,-0.01282722084,0,0,0.44,1629831,163.6884933
LR,cap2,0,0.001,6,8,0.9065625,0.9866666794,0.9866666794,0,0,-0.5561966896,0.5520409346,-1.619177938,0.2214999944,78.9999312,0,0,-0.0811027661,0.2810379565,-0.9020303488,0.4277499914,69.05421983,1.174793363,1.229513764,24.4412632,0,1.131072663,1.149742872,1.172998403,1.201425872,1.999999903,0.006288231256,0.07067731023,0.01,0,0.79,2484437,906.6491679,1.067855333,1.144083247,1.211070842,1.249290224,1.999274078,0.03966561401,-0.008001375478,0,0,0.47,1801225,137.5661442
LR,cap2,0,0.001,6,9,0.9099291667,1,1,0,0,-0.4236549735,0.5255603194,-1.448443651,0.2919999957,77.6892572,0,0,0.05053040385,0.3054746091,-0.4294306338,0.5950000286,63.97676741,1.173003197,1.25742197,25.76047897,0,1.131756925,1.149959584,1.173162567,1.201425961,1.999999936,0.007815057945,0.03221680969,0.01,0,0.98,2540687,900.4774445,1.067855293,1.14462345,1.214739861,1.261554746,1.999999984,0.04715604728,-0.0128588276,0,0,0.96,1830224,129.5068405
LR,cap2,0,0.001,6,10,0.9045520833,0.9975000024,0.9975000024,0,0,-0.4510675669,0.560801506,-2.355598927,0.2822499871,80.67807831,0,0,-0.03108414635,0.3307210803,-0.6394037008,0.495249927,68.01100146,1.170949697,1.236173511,26.89395523,0,1.130855374,1.149661852,1.173106953,1.201425877,1.999999679,0.006898742891,-0.01282769871,0.01,0,0.72,2421399,1094.702035,1.067855441,1.144623403,1.214596288,1.261430627,1.999979833,0.04774331374,-0.03566660918,0,0,0.6,1456617,150.0917436
