act,reg,lam,seed,task,tensor,ndim,numel,sq_norm,norm,norm0,norm_ratio,cos_w0,dist_w0,pen_l2,pen_l2init,pen_shell,pen_angular,reg_loss,arm
LR,none,0,7,0,W1,2,78400,33.47877482,5.786084585,5.786084585,1,1,0,0.03347877482,0,0,0,0,capT1
LR,none,0,7,0,b1,1,100,0.042066287,0.2051006753,0.2051006753,1,1,0,4.2066287e-05,0,0,0,0,capT1
LR,none,0,7,0,W2,2,10000,33.18333611,5.760497905,5.760497905,1,1,0,0.03318333611,0,0,1.473636151e-17,0,capT1
LR,none,0,7,0,b2,1,100,0.3182958504,0.5641771445,0.5641771445,1,1,0,0.0003182958504,0,0,-1.413517527e-19,0,capT1
LR,none,0,7,0,W3,2,1000,3.234331459,1.798424716,1.798424716,1,1,0,0.003234331459,0,0,0,0,capT1
LR,none,0,7,0,b3,1,10,0.04071128958,0.2017703883,0.2017703883,1,1,0,4.071128958e-05,0,0,-1.807944442e-20,0,capT1
LR,none,0,7,1,W1,2,78400,1190.968184,34.5104069,5.786084585,5.964379952,0.1988833254,33.83815688,1.190968184,1.145020861,0.8250866923,0.3199341688,0,capT1
LR,none,0,7,1,b1,1,100,0.3086019563,0.5555195373,0.2051006753,2.70852125,0.3736591067,0.5152870317,0.0003086019563,0.000265520725,0.0001227933788,0.0001427273462,0,capT1
LR,none,0,7,1,W2,2,10000,424.4701214,20.60267267,5.760497905,3.576543732,0.4990724162,18.41716534,0.4244701214,0.339191979,0.2202901519,0.1189018271,0,capT1
LR,none,0,7,1,b2,1,100,0.8976384197,0.9474378184,0.5641771445,1.679326835,0.5673478385,0.7806494743,0.0008976384197,0.0006094136017,0.0001468887441,0.0004625248575,0,capT1
LR,none,0,7,1,W3,2,1000,128.6963645,11.34444201,1.798424716,6.307988267,0.7909413093,9.982831721,0.1286963645,0.09965692916,0.09112644613,0.008530483036,0,capT1
LR,none,0,7,1,b3,1,10,0.04036175169,0.2009023437,0.2017703883,0.9956978593,0.9377425354,0.07105004282,4.036175169e-05,5.048108585e-06,7.535014316e-10,5.047355084e-06,0,capT1
LR,none,0,7,2,W1,2,78400,1198.270954,34.61605053,5.786084585,5.982638176,0.08183108082,34.6261405,1.198270954,1.198969606,0.8311669362,0.3678026698,0,capT1
LR,none,0,7,2,b1,1,100,0.8048580537,0.8971388152,0.2051006753,4.374138769,0.2794518341,0.8626030112,0.0008048580537,0.0007440839549,0.0004789167871,0.0002651671678,0,capT1
LR,none,0,7,2,W2,2,10000,405.4512827,20.13582088,5.760497905,3.49550008,0.3803970093,18.7186626,0.4054512827,0.3503883297,0.2066499108,0.1437384189,0,capT1
LR,none,0,7,2,b2,1,100,2.688003289,1.639513126,0.5641771445,2.906025424,0.2224201181,1.610848432,0.002688003289,0.002594832671,0.001156347472,0.001438485199,0,capT1
LR,none,0,7,2,W3,2,1000,398.6140521,19.96532124,1.798424716,11.10156075,0.7821378185,18.59250665,0.3986140521,0.3456813036,0.3300361292,0.01564517439,0,capT1
LR,none,0,7,2,b3,1,10,0.1371857642,0.3703859665,0.2017703883,1.835680497,0.3376797016,0.356967048,0.0001371857642,0.0001274254733,2.843121323e-05,9.899426011e-05,0,capT1
LR,none,0,7,3,W1,2,78400,1201.554907,34.66345204,5.786084585,5.990830506,0.04118216693,34.9072231,1.201554907,1.218514225,0.8339023511,0.3846118736,0,capT1
LR,none,0,7,3,b1,1,100,1.283507181,1.132919759,0.2051006753,5.523725156,0.2630530804,1.0969622,0.001283507181,0.001203326069,0.0008608482529,0.0003424778159,0,capT1
LR,none,0,7,3,W2,2,10000,415.5442332,20.38490209,5.760497905,3.538739607,0.3207952355,19.32323487,0.4155442332,0.3733874059,0.2138731978,0.1595142081,0,capT1
LR,none,0,7,3,b2,1,100,3.642808475,1.908614281,0.5641771445,3.38300532,0.1695743597,1.89628852,0.003642808475,0.003595910152,0.001807511215,0.001788398938,0,capT1
LR,none,0,7,3,W3,2,1000,569.2992258,23.85999216,1.798424716,13.26716206,0.7841097808,22.47755835,0.5692992258,0.5052406292,0.4867127581,0.01852787116,0,capT1
LR,none,0,7,3,b3,1,10,0.2047435527,0.4524859696,0.2017703883,2.242578673,0.2849037402,0.4398095101,0.0002047435527,0.0001934324052,6.285830271e-05,0.0001305741025,0,capT1
LR,none,0,7,4,W1,2,78400,1208.082144,34.75747609,5.786084585,6.007080537,0.0222326598,35.1086672,1.208082144,1.232618512,0.8393415259,0.3932769863,0,capT1
LR,none,0,7,4,b1,1,100,1.377503651,1.173671015,0.2051006753,5.722414191,0.1983529472,1.150684409,0.001377503651,0.00132407461,0.0009381285024,0.0003859461077,0,capT1
LR,none,0,7,4,W2,2,10000,417.7811163,20.43969462,5.760497905,3.548251377,0.2789990699,19.62814762,0.4177811163,0.3852641789,0.2154788163,0.1697853626,0,capT1
LR,none,0,7,4,b2,1,100,4.740717944,2.177318981,0.5641771445,3.8592825,0.1481015554,2.166831739,0.004740717944,0.004695159787,0.002602226584,0.002092933203,0,capT1
LR,none,0,7,4,W3,2,1000,692.2446632,26.31054282,1.798424716,14.62977159,0.7816049536,24.93013763,0.6922446632,0.6215117622,0.6008439337,0.02066782853,0,capT1
LR,none,0,7,4,b3,1,10,0.1748368712,0.4181349916,0.2017703883,2.072330807,0.4357008613,0.3768691888,0.0001748368712,0.0001420303854,4.681364157e-05,9.521674386e-05,0,capT1
LR,none,0,7,5,W1,2,78400,1208.326553,34.76099183,5.786084585,6.007688156,0.01097794004,35.17654532,1.208326553,1.237389341,0.8395452499,0.3978440909,0,capT1
LR,none,0,7,5,b1,1,100,1.514812711,1.230777279,0.2051006753,6.000844599,0.1441299009,1.218241618,0.001514812711,0.001484112639,0.001052012496,0.0004321001433,0,capT1
LR,none,0,7,5,W2,2,10000,417.3227619,20.42847919,5.760497905,3.546304421,0.2446318502,19.82247262,0.4173227619,0.3929304208,0.2151496749,0.1777807459,0,capT1
LR,none,0,7,5,b2,1,100,4.938476436,2.222268309,0.5641771445,3.938954866,0.1255664777,2.223041518,0.004938476436,0.004941913593,0.002749266309,0.002192647284,0,capT1
LR,none,0,7,5,W3,2,1000,777.7867949,27.88882921,1.798424716,15.5073654,0.775251302,26.51894003,0.7777867949,0.7032541802,0.6807092069,0.0225449733,0,capT1
LR,none,0,7,5,b3,1,10,0.1440795415,0.3795781098,0.2017703883,1.881237941,0.5416117318,0.3191070686,0.0001440795415,0.0001018293212,3.161558584e-05,7.021373538e-05,0,capT1
LR,none,0,7,6,W1,2,78400,1207.08044,34.74306319,5.786084585,6.004589577,0.004795251179,35.19419372,1.20708044,1.238631271,0.8385066099,0.4001246615,0,capT1
LR,none,0,7,6,b1,1,100,1.725609941,1.313624734,0.2051006753,6.40478015,0.1226265149,1.304453469,0.001725609941,0.001701598852,0.001228825588,0.0004727732638,0,capT1
LR,none,0,7,6,W2,2,10000,418.562312,20.45879547,5.760497905,3.551567209,0.2191270454,20.00240373,0.418562312,0.4000961551,0.2160399512,0.1840562039,0,capT1
LR,none,0,7,6,b2,1,100,5.246096546,2.290435886,0.5641771445,4.059781414,0.08044952179,2.314406358,0.005246096546,0.005356476789,0.002979969241,0.002376507548,0,capT1
LR,none,0,7,6,W3,2,1000,904.6244071,30.0769747,1.798424716,16.72406659,0.7714176842,28.71245307,0.9046244071,0.8244049612,0.7996763892,0.02472857194,0,capT1
LR,none,0,7,6,b3,1,10,0.1802674862,0.4245791872,0.2017703883,2.104269069,0.4074798379,0.3887971343,0.0001802674862,0.0001511632117,4.964376086e-05,0.0001015194508,0,capT1
LR,none,0,7,7,W1,2,78400,1215.025043,34.85720935,5.786084585,6.02431728,0.002026919768,35.32260201,1.215025043,1.247686212,0.8451302949,0.4025559175,0,capT1
LR,none,0,7,7,b1,1,100,2.328126866,1.525820064,0.2051006753,7.439371234,0.1341276844,1.512032908,0.002328126866,0.002286243514,0.001744299703,0.0005419438115,0,capT1
LR,none,0,7,7,W2,2,10000,419.3266676,20.47746731,5.760497905,3.554808569,0.1969951835,20.15030371,0.4193266676,0.4060347394,0.2165891886,0.1894455508,0,capT1
LR,none,0,7,7,b2,1,100,5.768109258,2.401688835,0.5641771445,4.25697648,0.06753573652,2.429688507,0.005768109258,0.005903386241,0.003376449211,0.00252693703,0,capT1
LR,none,0,7,7,W3,2,1000,1029.491125,32.08568411,1.798424716,17.84099375,0.7699633201,30.72240243,1.029491125,0.9438660112,0.9173180819,0.02654792931,0,capT1
LR,none,0,7,7,b3,1,10,0.2011349945,0.4484807627,0.2017703883,2.222728352,0.4316070313,0.4046404883,0.0002011349945,0.0001637339247,6.086600883e-05,0.0001028679159,0,capT1
LR,none,0,7,8,W1,2,78400,1214.40861,34.84836596,5.786084585,6.022788892,0.001572948539,35.3164701,1.21440861,1.24725306,0.8446161989,0.4026368614,0,capT1
LR,none,0,7,8,b1,1,100,2.835914112,1.684017254,0.2051006753,8.210686053,0.0885793997,1.678329817,0.002835914112,0.002816790976,0.002187194247,0.0006295967292,0,capT1
LR,none,0,7,8,W2,2,10000,424.3098036,20.59878161,5.760497905,3.575868258,0.171097269,20.41784995,0.4243098036,0.4168885965,0.2201746632,0.1967139333,0,capT1
LR,none,0,7,8,b2,1,100,4.45362919,2.110362336,0.5641771445,3.740602321,0.08222593609,2.139188082,0.00445362919,0.004576125648,0.002390688647,0.002185437002,0,capT1
LR,none,0,7,8,W3,2,1000,1054.187738,32.46825739,1.798424716,18.05372063,0.7666110814,31.11100441,1.054187738,0.9678945954,0.9406386362,0.02725595917,0,capT1
LR,none,0,7,8,b3,1,10,0.2150289072,0.4637120952,0.2017703883,2.298216796,0.5280921049,0.3961313461,0.0002150289072,0.0001569200433,6.861345782e-05,8.830658551e-05,0,capT1
LR,none,0,7,9,W1,2,78400,1223.686055,34.98122432,5.786084585,6.045750594,0.0005697057115,35.45326794,1.223686055,1.256934208,0.8523561839,0.4045780237,0,capT1
LR,none,0,7,9,b1,1,100,3.343559076,1.828540149,0.2051006753,8.915329735,0.1460294765,1.80999809,0.003343559076,0.003276093087,0.002635555725,0.000640537362,0,capT1
LR,none,0,7,9,W2,2,10000,422.9257194,20.5651579,5.760497905,3.570031313,0.1515448446,20.49886263,0.4229257194,0.4202033691,0.2191779575,0.2010254115,0,capT1
LR,none,0,7,9,b2,1,100,5.694030804,2.386216839,0.5641771445,4.229552478,0.1099050461,2.390900989,0.005694030804,0.005716407537,0.003319828649,0.002396578888,0,capT1
LR,none,0,7,9,W3,2,1000,1268.955221,35.62239774,1.798424716,19.8075557,0.7660156476,34.2642845,1.268955221,1.174041192,1.144061151,0.02998004095,0,capT1
LR,none,0,7,9,b3,1,10,0.255546414,0.5055159878,0.2017703883,2.505402265,0.2721214656,0.490658667,0.000255546414,0.0002407459275,9.226138925e-05,0.0001484845383,0,capT1
LR,none,0,7,10,W1,2,78400,1225.092475,35.00132105,5.786084585,6.049223881,-0.000293227354,35.47802164,1.225092475,1.258690019,0.8535300417,0.4051599775,0,capT1
LR,none,0,7,10,b1,1,100,3.997084957,1.999271106,0.2051006753,9.747754871,0.1538077534,1.9781337,0.003997084957,0.003913012935,0.003219047536,0.0006939653991,0,capT1
LR,none,0,7,10,W2,2,10000,421.9261108,20.54084007,5.760497905,3.565809833,0.1344547243,20.57402759,0.4219261108,0.4232906111,0.2184585146,0.2048320965,0,capT1
LR,none,0,7,10,b2,1,100,5.285850699,2.299097801,0.5641771445,4.075134598,0.09601097688,2.314103536,0.005285850699,0.005355075174,0.003009949684,0.002345125489,0,capT1
LR,none,0,7,10,W3,2,1000,1375.212928,37.08386344,1.798424716,20.62019228,0.7655596811,35.72580335,1.375212928,1.276333025,1.245062186,0.03127083908,0,capT1
LR,none,0,7,10,b3,1,10,0.2654076408,0.5151772907,0.2017703883,2.553284925,0.3678825005,0.4792055736,0.0002654076408,0.0002296379818,9.822388647e-05,0.0001314140953,0,capT1
LR,none,0,7,11,W1,2,78400,1232.321149,35.10443204,5.786084585,6.067044394,-0.003369752556,35.59731497,1.232321149,1.267168833,0.8595654977,0.4076033357,0,capT1
LR,none,0,7,11,b1,1,100,4.034640731,2.008641514,0.2051006753,9.793441739,0.1371636488,1.990902152,0.004034640731,0.003963691378,0.003252759556,0.0007109318214,0,capT1
LR,none,0,7,11,W2,2,10000,421.9994787,20.5426259,5.760497905,3.566119845,0.1255145302,20.6270963,0.4219994787,0.4254771018,0.2185113079,0.2069657939,0,capT1
LR,none,0,7,11,b2,1,100,5.019745381,2.240478828,0.5641771445,3.971232884,0.09816613251,2.256074457,0.005019745381,0.005089871958,0.002809987336,0.002279884622,0,capT1
LR,none,0,7,11,W3,2,1000,1482.303128,38.50068997,1.798424716,21.40800759,0.7655396252,37.14195237,1.482303128,1.379524626,1.347056275,0.03246835051,0,capT1
LR,none,0,7,11,b3,1,10,0.2221849679,0.4713650049,0.2017703883,2.336145601,0.592479567,0.3875535531,0.0002221849679,0.0001501977565,7.268125733e-05,7.751649921e-05,0,capT1
LR,none,0,7,12,W1,2,78400,1232.706784,35.10992429,5.786084585,6.067993611,0.004226722213,35.55936234,1.232706784,1.26446825,0.8598875753,0.4045806747,0,capT1
LR,none,0,7,12,b1,1,100,4.244532137,2.060226234,0.2051006753,10.04495101,0.1647882718,2.036500578,0.004244532137,0.004147334605,0.00344149084,0.0007058437655,0,capT1
LR,none,0,7,12,W2,2,10000,423.5725467,20.58087818,5.760497905,3.572760293,0.1153470405,20.72210634,0.4235725467,0.429405691,0.2196436716,0.2097620194,0,capT1
LR,none,0,7,12,b2,1,100,4.439841698,2.107093187,0.5641771445,3.734807777,0.1186214552,2.115681778,0.004439841698,0.004476109388,0.002380589913,0.002095519474,0,capT1
LR,none,0,7,12,W3,2,1000,1575.188706,39.68864706,1.798424716,22.06856184,0.7641388017,38.33195925,1.575188706,1.4693391,1.435668949,0.03367015017,0,capT1
LR,none,0,7,12,b3,1,10,0.3369435661,0.5804684023,0.2017703883,2.876876073,0.2774043497,0.5591734259,0.0003369435661,0.0003126749202,0.0001434121859,0.0001692627343,0,capT1
LR,none,0,7,13,W1,2,78400,1236.560519,35.16476246,5.786084585,6.077471206,0.003946352154,35.61507257,1.236560519,1.268433394,0.8631067136,0.4053266807,0,capT1
LR,none,0,7,13,b1,1,100,4.794724391,2.189685911,0.2051006753,10.67615164,0.1412538038,2.170233812,0.004794724391,0.004709914799,0.003938578559,0.0007713362398,0,capT1
LR,none,0,7,13,W2,2,10000,429.2421416,20.71815971,5.760497905,3.596591831,0.1025988645,20.92691477,0.4292421416,0.4379357617,0.2237316466,0.2142041151,0,capT1
LR,none,0,7,13,b2,1,100,5.10266139,2.258907123,0.5641771445,4.003896905,0.05599188294,2.297442593,0.00510266139,0.005278242467,0.0028721097,0.002406132767,0,capT1
LR,none,0,7,13,W3,2,1000,1642.639213,40.52948572,1.798424716,22.5361036,0.7639159222,39.17283573,1.642639213,1.534511059,1.500095086,0.03441597275,0,capT1
LR,none,0,7,13,b3,1,10,0.3035332478,0.5509385154,0.2017703883,2.730522155,0.3601623226,0.513975712,0.0003035332478,0.0002641710325,0.000121918381,0.0001422526515,0,capT1
LR,none,0,7,14,W1,2,78400,1237.073856,35.17206074,5.786084585,6.078732556,0.00208761272,35.63289123,1.237073856,1.269702937,0.8635355944,0.4061673429,0,capT1
LR,none,0,7,14,b1,1,100,5.390231318,2.321687171,0.2051006753,11.31974416,0.1375891926,2.302447235,0.005390231318,0.00530126327,0.004479938392,0.0008213248777,0,capT1
LR,none,0,7,14,W2,2,10000,431.8075732,20.77998011,5.760497905,3.607323612,0.0938261664,21.03635796,0.4318075732,0.4425283562,0.2255848456,0.2169435106,0,capT1
LR,none,0,7,14,b2,1,100,4.246514326,2.060707239,0.5641771445,3.652589013,0.0889553874,2.087575247,0.004246514326,0.004357970411,0.002239602324,0.002118368086,0,capT1
LR,none,0,7,14,W3,2,1000,1694.493848,41.1642302,1.798424716,22.88904831,0.7623085042,39.81029527,1.694493848,1.58485961,1.549666641,0.03519296844,0,capT1
LR,none,0,7,14,b3,1,10,0.1948517091,0.441420105,0.2017703883,2.187734825,0.5730892583,0.3653464509,0.0001948517091,0.0001334780292,5.743198675e-05,7.604604243e-05,0,capT1
LR,none,0,7,15,W1,2,78400,1238.084497,35.18642489,5.786084585,6.081215091,-0.001309543924,35.66646178,1.238084497,1.272096496,0.8643800103,0.4077164857,0,capT1
LR,none,0,7,15,b1,1,100,5.852218839,2.419135969,0.2051006753,11.79487082,0.1728831347,2.392222296,0.005852218839,0.005722727513,0.004901952284,0.0008207752294,0,capT1
LR,none,0,7,15,W2,2,10000,435.990566,20.88038711,5.760497905,3.624753877,0.07956708046,21.21398167,0.435990566,0.4500330183,0.2286110497,0.2214219686,0,capT1
LR,none,0,7,15,b2,1,100,3.630497142,1.90538635,0.5641771445,3.377283834,0.1141488056,1.924416449,0.003630497142,0.003703378669,0.001798842132,0.001904536537,0,capT1
LR,none,0,7,15,W3,2,1000,1753.895211,41.87953212,1.798424716,23.28678635,0.7613971562,40.52699052,1.753895211,1.64243696,1.606495171,0.03594178936,0,capT1
LR,none,0,7,15,b3,1,10,0.1737090383,0.4167841628,0.2017703883,2.065635926,0.7023205,0.3103183223,0.0001737090383,9.629746112e-05,4.623092322e-05,5.00665379e-05,0,capT1
LR,none,0,7,16,W1,2,78400,1240.133412,35.215528,5.786084585,6.086244936,-0.003327547775,35.70669726,1.240133412,1.27496823,0.8660921397,0.4088760898,0,capT1
LR,none,0,7,16,b1,1,100,5.759726377,2.399942994,0.2051006753,11.70129251,0.1915099721,2.369231686,0.005759726377,0.005613258784,0.004817332806,0.0007959259777,0,capT1
LR,none,0,7,16,W2,2,10000,438.4437342,20.93904807,5.760497905,3.634937191,0.07935547205,21.27165862,0.4384437342,0.4524834606,0.2303883852,0.2220950754,0,capT1
LR,none,0,7,16,b2,1,100,4.095227344,2.023666807,0.5641771445,3.586935108,0.1156299232,2.037030268,0.004095227344,0.004149492311,0.002130110074,0.002019382237,0,capT1
LR,none,0,7,16,W3,2,1000,1858.428524,43.10949459,1.798424716,23.97069736,0.7608462915,41.75748168,1.858428524,1.743687276,1.706604494,0.0370827821,0,capT1
LR,none,0,7,16,b3,1,10,0.2115268858,0.4599205211,0.2017703883,2.279425267,0.6543050357,0.3616646655,0.0002115268858,0.0001308013302,6.66414911e-05,6.415983914e-05,0,capT1
LR,none,0,7,17,W1,2,78400,1239.077787,35.20053675,5.786084585,6.08365402,0.003371411376,35.6536566,1.239077787,1.271183229,0.8652099959,0.4059732332,0,capT1
LR,none,0,7,17,b1,1,100,5.874555065,2.423748144,0.2051006753,11.81735819,0.1919801257,2.392853936,0.005874555065,0.005725749957,0.00492239659,0.0008033533671,0,capT1
LR,none,0,7,17,W2,2,10000,449.453903,21.2003279,5.760497905,3.680294351,0.07464700678,21.55005315,0.449453903,0.4644047906,0.2383883502,0.2260164404,0,capT1
LR,none,0,7,17,b2,1,100,3.806719507,1.951081625,0.5641771445,3.458278386,0.08959485866,1.981860556,0.003806719507,0.003927771262,0.001923504038,0.002004267224,0,capT1
LR,none,0,7,17,W3,2,1000,1921.153343,43.83096329,1.798424716,24.37186439,0.7581117104,42.48374753,1.921153343,1.804868804,1.766734299,0.03813450533,0,capT1
LR,none,0,7,17,b3,1,10,0.2076982254,0.4557392076,0.2017703883,2.258702139,0.6083089672,0.3695075181,0.0002076982254,0.0001365358059,6.450016121e-05,7.203564472e-05,0,capT1
LR,none,0,7,18,W1,2,78400,1235.635459,35.15160678,5.786084585,6.075197531,0.00363528373,35.60386878,1.235635459,1.267635472,0.8623338939,0.4053015783,0,capT1
LR,none,0,7,18,b1,1,100,6.630684723,2.575011597,0.2051006753,12.5548665,0.2209373855,2.537593498,0.006630684723,0.006439380763,0.005616477776,0.0008229029878,0,capT1
LR,none,0,7,18,W2,2,10000,451.0151882,21.23711817,5.760497905,3.686680999,0.06699076531,21.62886288,0.4510151882,0.4678077095,0.2395257748,0.2282819347,0,capT1
LR,none,0,7,18,b2,1,100,3.572419816,1.890084606,0.5641771445,3.350161601,0.1010857441,1.917063277,0.003572419816,0.003675131609,0.001758030595,0.001917101014,0,capT1
LR,none,0,7,18,W3,2,1000,1992.443465,44.63679496,1.798424716,24.81994079,0.7556080582,43.29392035,1.992443465,1.874363539,1.835125966,0.03923757364,0,capT1
LR,none,0,7,18,b3,1,10,0.2278529481,0.4773394474,0.2017703883,2.365755706,0.3116547575,0.4566524387,0.0002278529481,0.0002085314498,7.593830638e-05,0.0001325931434,0,capT1
LR,none,0,7,19,W1,2,78400,1254.371141,35.41710238,5.786084585,6.121082723,0.0007837888921,35.88214985,1.254371141,1.287528678,0.8779972158,0.4095314623,0,capT1
LR,none,0,7,19,b1,1,100,6.611065568,2.571199247,0.2051006753,12.5362788,0.2205610922,2.533871346,0.006611065568,0.006420503997,0.005598422451,0.0008220815456,0,capT1
LR,none,0,7,19,W2,2,10000,462.8401645,21.51372038,5.760497905,3.734698065,0.05843823966,21.94399756,0.4628401645,0.4815390288,0.2481640183,0.2333750105,0,capT1
LR,none,0,7,19,b2,1,100,3.506673877,1.872611513,0.5641771445,3.319190667,0.1493520723,1.873337501,0.003506673877,0.003509393394,0.001712000496,0.001797392898,0,capT1
LR,none,0,7,19,W3,2,1000,2115.685709,45.99658367,1.798424716,25.57604067,0.7539375256,44.65631553,2.115685709,1.994186516,1.953477255,0.04070926125,0,capT1
LR,none,0,7,19,b3,1,10,0.207556144,0.4555833008,0.2017703883,2.257929445,0.2866176209,0.4422372718,0.000207556144,0.0001955738046,6.442099457e-05,0.00013115281,0,capT1
LR,none,0,7,20,W1,2,78400,1244.824839,35.28207533,5.786084585,6.097746206,0.0008290492338,35.74863804,1.244824839,1.277965122,0.8700134698,0.4079516517,0,capT1
LR,none,0,7,20,b1,1,100,6.962380084,2.638632237,0.2051006753,12.86505875,0.2327247225,2.598567297,0.006962380084,0.006752551995,0.005922075864,0.0008304761314,0,capT1
LR,none,0,7,20,W2,2,10000,466.0364819,21.58787812,5.760497905,3.747571561,0.05499981156,22.03498588,0.4660364819,0.4855406029,0.2505059646,0.2350346383,0,capT1
LR,none,0,7,20,b2,1,100,3.331710995,1.825297509,0.5641771445,3.23532693,0.1385549571,1.834295917,0.003331710995,0.003364641512,0.001590424573,0.001774216939,0,capT1
LR,none,0,7,20,W3,2,1000,2125.548144,46.10366736,1.798424716,25.63558372,0.7511269757,44.76856743,2.125548144,2.004224629,1.962954526,0.04127010336,0,capT1
LR,none,0,7,20,b3,1,10,0.2263525388,0.475765214,0.2017703883,2.357953603,0.4839522529,0.4173122501,0.0002263525388,0.0001741495141,7.50731645e-05,9.907634955e-05,0,capT1
LR,none,0,7,21,W1,2,78400,1235.990757,35.15666021,5.786084585,6.076070906,0.006773364036,35.5909239,1.235990757,1.266713864,0.8626307124,0.4040831519,0,capT1
LR,none,0,7,21,b1,1,100,7.866416947,2.804713345,0.2051006753,13.67481283,0.1927798477,2.772488153,0.007866416947,0.007686690558,0.006757986032,0.0009287045265,0,capT1
LR,none,0,7,21,W2,2,10000,469.5150781,21.66829661,5.760497905,3.761531897,0.05462815127,22.11472413,0.4695150781,0.4890610232,0.2530580598,0.2360029634,0,capT1
LR,none,0,7,21,b2,1,100,4.112469772,2.027922526,0.5641771445,3.594478341,0.1425403893,2.025981874,0.004112469772,0.004104602554,0.002142550542,0.001962052012,0,capT1
LR,none,0,7,21,W3,2,1000,2302.645681,47.98589044,1.798424716,26.68217914,0.7524485601,46.64771033,2.302645681,2.176008879,2.13328199,0.04272688906,0,capT1
LR,none,0,7,21,b3,1,10,0.3782173261,0.614993761,0.2017703883,3.047988192,0.6104150907,0.5171448675,0.0003782173261,0.000267438814,0.0001707535558,9.668525819e-05,0,capT1
LR,none,0,7,22,W1,2,78400,1242.122037,35.24375175,5.786084585,6.091122802,0.003533956201,35.69537085,1.242122037,1.2741595,0.8677541548,0.4064053452,0,capT1
LR,none,0,7,22,b1,1,100,7.54937312,2.747612258,0.2051006753,13.39640766,0.1691561173,2.720438917,0.00754937312,0.007400787902,0.006464365148,0.0009364227534,0,capT1
LR,none,0,7,22,W2,2,10000,477.1989985,21.84488495,5.760497905,3.792186945,0.04887809028,22.31772725,0.4771989985,0.4980809497,0.2587075067,0.239373443,0,capT1
LR,none,0,7,22,b2,1,100,3.914110815,1.978411185,0.5641771445,3.506719838,0.176645219,1.959100031,0.003914110815,0.003838072933,0.00200005792,0.001838015012,0,capT1
LR,none,0,7,22,W3,2,1000,2445.877705,49.45581568,1.798424716,27.49951958,0.7510017239,48.1198504,2.445877705,2.315520002,2.271226914,0.04429308885,0,capT1
LR,none,0,7,22,b3,1,10,0.3458567108,0.5880958347,0.2017703883,2.914678609,0.4591560638,0.5268783398,0.0003458567108,0.0002776007849,0.0001492473505,0.0001283534344,0,capT1
LR,none,0,7,23,W1,2,78400,1235.25622,35.14621203,5.786084585,6.074265164,0.0009193269248,35.61405745,1.23525622,1.268361088,0.8620170835,0.4063440045,0,capT1
LR,none,0,7,23,b1,1,100,8.4221606,2.902095898,0.2051006753,14.14961649,0.1733446459,2.873650962,0.0084221606,0.008257869853,0.00727378323,0.0009840866225,0,capT1
LR,none,0,7,23,W2,2,10000,484.1680788,22.00381964,5.760497905,3.819777388,0.04819517557,22.47517859,0.4841680788,0.5051336529,0.263845501,0.2412881518,0,capT1
LR,none,0,7,23,b2,1,100,3.525622293,1.877664052,0.5641771445,3.328146258,0.1996578256,1.849569961,0.003525622293,0.00342090904,0.001725247856,0.001695661184,0,capT1
LR,none,0,7,23,W3,2,1000,2513.174503,50.13157192,1.798424716,27.87526855,0.7481975574,48.80058459,2.513174503,2.381497056,2.336093118,0.04540393772,0,capT1
LR,none,0,7,23,b3,1,10,0.4017256313,0.6338182952,0.2017703883,3.141285005,0.3228848897,0.599876787,0.0004017256313,0.0003598521596,0.0001866653938,0.0001731867657,0,capT1
LR,none,0,7,24,W1,2,78400,1249.080731,35.34233624,5.786084585,6.108161006,0.007266759035,35.7713222,1.249080731,1.279587492,0.8735720119,0.4060154802,0,capT1
LR,none,0,7,24,b1,1,100,8.840057494,2.973223418,0.2051006753,14.4964097,0.1504425773,2.949345854,0.008840057494,0.008698640965,0.007662503519,0.001036137446,0,capT1
LR,none,0,7,24,W2,2,10000,488.7064903,22.10670691,5.760497905,3.837638217,0.05123033666,22.55752439,0.4887064903,0.5088419065,0.2671985488,0.2416433577,0,capT1
