act,arm,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,wt_q10_l1,wt_med_l1,wt_q90_l1,wt_max_l1,wt_ratio0_med_l1,rowmean_abs_med_l1,b_med_l1,exceed_t1_frac_l1,exceed_2x0_frac_l1,bind_frac_l1,proj_rows_l1,proj_removed_l1,wt_q10_l2,wt_med_l2,wt_q90_l2,wt_max_l2,wt_ratio0_med_l2,rowmean_abs_med_l2,b_med_l2,exceed_t1_frac_l2,exceed_2x0_frac_l2,bind_frac_l2,proj_rows_l2,proj_removed_l2
LR,l2,0.001,0.001,7,1,0.9496666667,1,1,0,0,-0.03261915222,0.7634660602,-0.7773396969,0.4952499866,60.7227194,0,0,0.4987270236,0.3338080943,-9.947624058e-09,0.9512500167,20.11208023,1.220591664,0.9083025455,2.729266405,0.2841661001,0.009015268404,1.221497674,1.508108166,1.705573621,2.104644923,0.0008834287392,-0.0003145687951,0,0.56,nan,nan,nan,0.7090095696,0.8938076807,1.054480826,1.268101193,1.527000231,0.01344608646,0.07493892312,0,0.03,nan,nan,nan
LR,l2,0.001,0.001,7,2,0.9570229167,1,1,0,0,-0.1981961876,0.7496803999,-0.7356313467,0.4119999707,62.62859888,0,0,0.3745235503,0.3141060174,-0.0002507165191,0.9100000262,23.38691024,1.243565917,0.9038425088,2.793230295,0.2998851373,0.01115743819,1.243323101,1.599605535,1.740876004,2.177060124,0.001023659128,-0.001147724281,0.46,0.58,nan,nan,nan,0.5491682824,0.8977138367,1.122726305,1.44369974,1.582965407,0.01138298033,0.09307005256,0.58,0.11,nan,nan,nan
LR,l2,0.001,0.001,7,3,0.9570416667,0.9975000024,0.9975000024,0,0,-0.426956892,0.8740492463,-1.438932538,0.3654999733,65.06408117,0,0,0.2576911449,0.3678954244,-0.04124913365,0.7885000706,28.45273881,1.353462458,0.9759448767,2.883628607,0.3495143898,0.1801145496,1.352391422,1.745677566,1.983560456,2.359854167,0.001898834816,-0.006969053065,0.65,0.67,nan,nan,nan,0.5593165014,0.9796904717,1.26191308,1.667166509,1.702998681,0.007306814057,0.07348447666,0.57,0.23,nan,nan,nan
LR,l2,0.001,0.001,7,4,0.9496166667,1,1,0,0,-0.196825102,0.7763993144,-0.6388864517,0.4022499621,58.98627364,0,0,0.2617136538,0.3109657764,-0.0004513031163,0.8500000238,22.11503875,1.214687109,0.8861329556,2.801926136,0.297667322,0.008790443137,1.231929839,1.614873005,1.83403308,2.123196407,0.0006782721053,-0.002837294945,0.51,0.56,nan,nan,nan,0.4125995398,0.8852143833,1.229841193,1.673948248,1.517318933,0.007674012818,0.06678580865,0.43,0.15,nan,nan,nan
LR,l2,0.001,0.001,7,5,0.9526916667,1,1,0,0,-0.2617299259,0.7979153395,-1.43552804,0.3924999833,66.08229504,0,0,0.2043210417,0.331058085,-0.01716349274,0.7509999871,21.70977112,1.327447534,0.9129921794,2.805274487,0.3203468902,0.05565475959,1.325098908,1.613901605,1.902563568,2.292953835,0.00127908248,-0.00231203984,0.54,0.64,nan,nan,nan,0.001088965217,0.9071134472,1.34579195,1.748437908,1.567115853,0.005983021277,0.06013569795,0.5,0.2,nan,nan,nan
LR,l2,0.001,0.001,7,6,0.9497791667,1,1,0,0,-0.1708139628,0.7710579634,-0.7696552873,0.3947499692,61.62891055,0,0,0.187945053,0.3122652173,-0.0004512202868,0.7757499814,18.82764569,1.292228222,0.900325954,2.77323103,0.308056465,0.01090251614,1.29449922,1.704686218,1.863290832,2.244637369,0.0007898916711,-0.001482564432,0.58,0.62,nan,nan,nan,0.0001721415986,0.8977628843,1.296877674,1.683347625,1.540215034,0.006021911161,0.04792768136,0.51,0.22,nan,nan,nan
LR,l2,0.001,0.001,7,7,0.9512604167,1,1,0,0,-0.1642125696,0.7320140004,-1.073029041,0.4202499688,61.79794769,0,0,0.1808659583,0.3186205924,-0.002377312398,0.7749999762,18.08829236,1.206261754,0.8902446628,2.75532341,0.29458559,0.01992787603,1.211131104,1.597743445,1.848463266,2.074283564,0.000957379118,-0.0007109966828,0.52,0.54,nan,nan,nan,0.04326939508,0.8950665998,1.253644165,1.617190046,1.538985402,0.006336075831,0.04885417596,0.48,0.22,nan,nan,nan
LR,l2,0.001,0.001,7,8,0.9491354167,1,1,0,0,-0.1618807465,0.7300931215,-0.6216522455,0.3969999552,58.67439454,0,0,0.192440033,0.304374963,-0.0001136445499,0.769000113,16.25575106,1.106852651,0.9208471179,2.863479137,0.295166746,0.003416788581,1.114255157,1.582077468,1.738334174,1.916261916,0.001056647253,-3.40766619e-05,0.57,0.46,nan,nan,nan,1.375446307e-06,0.9253958507,1.260741537,1.623125316,1.5754712,0.004796284838,0.04192958958,0.52,0.27,nan,nan,nan
LR,l2,0.001,0.001,7,9,0.9493895833,1,1,0,0,-0.1598750055,0.7426791787,-0.647361815,0.4089999497,60.07894477,0,0,0.2337324321,0.3243444264,-9.004615094e-06,0.8102500439,15.77571337,1.232868552,0.9190055728,2.788087845,0.2980306519,0.009678791094,1.233386238,1.609525791,1.929722845,2.130324233,0.000919585221,-0.0004386541696,0.58,0.56,nan,nan,nan,4.077719202e-06,0.9240185625,1.20884325,1.332693574,1.649194713,0.006194714451,0.03330784477,0.55,0.21,nan,nan,nan
LR,l2,0.001,0.001,7,10,0.95138125,0.9933333397,0.9933333397,0,0,-0.457036227,0.8722451329,-2.256467581,0.3347499669,64.1969629,0,0,0.1355774552,0.3529725075,-0.1041007191,0.701499939,19.06243037,1.383255243,0.9888129234,2.879480362,0.3454410953,0.09512561785,1.379562705,1.73844818,1.914631426,2.388129811,0.002028539658,-0.003981418558,0.69,0.64,nan,nan,nan,0.09104421378,0.9946001497,1.284663786,1.533817597,1.737558148,0.003869475974,0.03055188246,0.6,0.28,nan,nan,nan
