act,arm,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,wt_q10_l1,wt_med_l1,wt_q90_l1,wt_max_l1,wt_ratio0_med_l1,rowmean_abs_med_l1,b_med_l1,exceed_t1_frac_l1,exceed_2x0_frac_l1,bind_frac_l1,proj_rows_l1,proj_removed_l1,wt_q10_l2,wt_med_l2,wt_q90_l2,wt_max_l2,wt_ratio0_med_l2,rowmean_abs_med_l2,b_med_l2,exceed_t1_frac_l2,exceed_2x0_frac_l2,bind_frac_l2,proj_rows_l2,proj_removed_l2
LR,ref,0,0.001,8,1,0.971475,1,1,0,0,-0.6282727122,1.405844331,-3.344549179,0.4202499688,74.68140547,0,0,0.9548957348,1.313024998,0.1419642568,0.7930000424,45.54096776,3.324525595,2.054065228,3.576033354,0,3.031709144,3.32686679,3.592497455,3.922983665,5.724329,0.005434494962,0.01602991251,0,1,nan,nan,nan,1.875023891,2.01007106,2.134099091,2.28397658,3.468421742,0.04462098978,0.05624900013,0,1,nan,nan,nan
LR,ref,0,0.001,8,2,0.9466104167,1,1,0,0,-3.011498451,2.068897247,-6.227809429,0.1674999893,73.04728267,0,0,0.5762674212,1.471385598,-1.629880309,0.7015000582,54.67596799,5.261656761,2.811037302,6.023937702,0,4.761944119,5.237303107,5.654434318,6.146557968,9.076116005,0.01237733575,-0.02878379822,1,1,nan,nan,nan,2.579121317,2.800311754,2.994807873,3.181225979,4.851879958,0.01787788131,0.0931992121,1,1,nan,nan,nan
LR,ref,0,0.001,8,3,0.9385416667,1,1,0,0,-4.153649807,2.486100912,-7.881726742,0.1367499977,71.89665903,0,0,0.1871603727,1.780145288,-3.768466473,0.57099998,53.60870601,6.559919357,3.32690239,7.563148975,0,6.125013355,6.544850059,7.054641129,7.790200412,11.2529117,0.01452294401,-0.0559696015,1,1,nan,nan,nan,2.849245694,3.30992295,3.603224683,3.870956595,5.738249457,0.02883532985,0.09256010875,1,1,nan,nan,nan
LR,ref,0,0.001,8,4,0.9219395833,1,1,0,0,-4.608460426,2.909030437,-9.711460114,0.1389999837,70.48159177,0,0,0.3247554898,2.205254078,-6.350620747,0.6107500196,53.94021243,7.72013998,3.825554609,9.097500801,0,7.207558592,7.720945655,8.278322714,8.690159231,13.35379844,0.0144620944,-0.06219304539,1,1,nan,nan,nan,3.169349147,3.793600947,4.072034797,4.349713737,6.534092851,0.04174143003,0.07923308015,1,1,nan,nan,nan
LR,ref,0,0.001,8,5,0.9134729167,1,1,0,0,-5.092620373,3.190088034,-9.457507133,0.1330000013,71.73330983,0,0,-2.203472376,2.718811512,-7.038963318,0.2702499628,59.20223864,8.952435493,4.195488453,10.06653023,0,8.218501654,8.92069244,9.58433785,10.20404934,15.46650594,0.01819163785,-0.08225572854,1,1,nan,nan,nan,3.500780576,4.158251109,4.49918517,4.944455434,7.195644551,0.04667311089,0.05626831762,1,1,nan,nan,nan
LR,ref,0,0.001,8,6,0.8978270833,1,1,0,0,-6.022484303,3.532567978,-10.43831158,0.1262499988,68.79273035,0,0,-4.669826508,3.268395662,-11.42700672,0.1577499956,61.91090156,10.82669258,4.635421753,10.8616991,0,9.904310583,10.7878175,11.69007622,12.86207747,18.6361166,0.02426815517,-0.1206541434,1,1,nan,nan,nan,3.852504636,4.521656361,4.957134953,5.432261731,7.836803002,0.06591637763,-0.01794945635,1,1,nan,nan,nan
LR,ref,0,0.001,8,7,0.8700333333,1,1,0,0,-7.116190434,3.909409046,-14.38142872,0.1142500192,64.90873856,0,0,-7.642453671,3.988521814,-13.71690083,0.1225000098,55.54234988,13.58656406,5.135435104,11.63713932,0,12.76869458,13.5803981,14.64382841,15.66191041,23.37265403,0.0312407818,-0.1470889971,1,1,nan,nan,nan,4.366816837,5.023831003,5.703165718,5.949399164,8.709977861,0.08979103686,-0.01668200316,1,1,nan,nan,nan
LR,ref,0,0.001,8,8,0.8390916667,1,1,0,0,-7.814609528,4.003315926,-14.15376949,0.1157500073,65.19436565,0,0,-6.962599277,4.090378284,-13.0039959,0.132250011,58.68429744,16.35573387,5.51221323,12.21770573,0,15.18427223,16.32254311,17.277772,18.17433207,28.23399312,0.03197212033,-0.1792757064,1,1,nan,nan,nan,4.867305588,5.446579916,5.991460675,6.357697147,9.387725457,0.09833868555,-0.07506259531,1,1,nan,nan,nan
LR,ref,0,0.001,8,9,0.8367645833,1,1,0,0,-8.430307388,4.099251747,-12.80090809,0.1105000079,63.77152616,0,0,-8.956559181,4.430183411,-13.54028606,0.1157500073,50.852553,17.69512749,5.536248207,12.32085514,0,16.3615823,17.6754475,18.88140101,20.40775548,30.31907359,0.04451228957,-0.207256116,1,1,nan,nan,nan,4.877721778,5.406875019,5.893366961,6.163841016,9.346497313,0.1152986754,-0.06884872541,1,1,nan,nan,nan
LR,ref,0,0.001,8,10,0.8232875,1,1,0,0,-8.402053833,4.188217163,-13.55730152,0.1105000079,64.40378394,0,0,-9.105456352,4.42897892,-14.6324234,0.1157500222,50.27738751,19.70034599,5.55670023,12.29428768,0,18.10589318,19.67674548,21.2517803,22.92031365,33.97994047,0.04779922179,-0.2532712221,1,1,nan,nan,nan,4.869579953,5.412310678,5.823019426,6.26139702,9.309923116,0.1203789779,-0.1202178746,1,1,nan,nan,nan
