act,arm,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,wt_q10_l1,wt_med_l1,wt_q90_l1,wt_max_l1,wt_ratio0_med_l1,rowmean_abs_med_l1,b_med_l1,exceed_t1_frac_l1,exceed_2x0_frac_l1,bind_frac_l1,proj_rows_l1,proj_removed_l1,wt_q10_l2,wt_med_l2,wt_q90_l2,wt_max_l2,wt_ratio0_med_l2,rowmean_abs_med_l2,b_med_l2,exceed_t1_frac_l2,exceed_2x0_frac_l2,bind_frac_l2,proj_rows_l2,proj_removed_l2
R,cap2,0,0.001,9,1,0.8952979167,0.885833323,0.885833323,0.6100000143,0.6100000143,-1.287957191,0.6809883118,-3.326308489,0,34.79071512,0.009999999776,0.009999999776,0.1802984029,0.1384843588,-0.2521773875,0.9133333564,29.28301886,1.172150612,1.233570576,9.183168411,0,0.587273324,1.14854886,1.175478527,1.205279024,1.999999882,0.006984369883,0.01488271961,0,0,0.74,1773072,912.2471133,1.086171316,1.145028388,1.230474733,1.276205825,1.999999912,0.0425578958,0.06081614085,0,0,0.82,2332904,443.8485183
R,cap2,0,0.001,9,2,0.6259291667,0.7891666889,0.7891666889,0.7900000215,0.7900000215,-1.600084305,0.724276185,-3.86242795,0,19.76264258,0.009999999776,0.009999999776,0.1231934875,0.119395256,-0.2025318593,0.8808333278,30.29211482,1.180170178,1.276009202,17.0293026,0,0.587273324,1.144965985,1.174810559,1.205279004,1.99999983,0.009417316179,0.01698417868,0.02,0,0.61,534745,283.1142873,1.086145239,1.143822747,1.230838763,1.276236617,1.999424258,0.05134728682,0.08147860691,0.13,0,0.42,1490846,307.5358109
R,cap2,0,0.001,9,3,0.2863875,0.359166652,0.359166652,0.9100000262,0.9100000262,-1.8043648,0.764796257,-4.796645164,0,8.76823206,0.01999999955,0.01999999955,0.1086456776,0.07431976497,-0.4826035202,0.9491666555,11.9912102,1.18706584,1.272534013,19.49964333,0,0.587273324,1.140757308,1.170882338,1.205279004,1.999999825,0.01041379525,0.0183500126,0.02,0,0.54,207100,63.79086161,1.076904113,1.142441797,1.224480353,1.275916587,1.998018228,0.05344759852,0.1106860824,0.07,0,0.34,512240,78.10756063
R,cap2,0,0.001,9,4,0.10269375,0.1141666695,0.1141666695,0.9900000095,0.9900000095,-1.906206608,0.7814855576,-6.051375866,0,1,0.200000003,0.200000003,0.08771731704,0.004632238764,-0.5389588475,1,1.200981375,1.187597632,1.227924585,19.47031975,0,0.587273324,1.138179148,1.169036597,1.205279004,1.993126748,0.01108425869,0.01789492927,0.01,0,0.46,16659,1.28499794,0.9911189062,1.108957215,1.202797911,1.271779672,1.933659473,0.05419648977,0.08813454211,0.01,0,0.08,41577,1.126504779
R,cap2,0,0.001,9,5,0.1012,0.112499997,0.112499997,1,1,-1.906206608,0.7814855576,-6.051375866,0,0,0.2800000012,0.2800000012,0.05740135163,0,-0.5392045379,1,1.000002543,1.187597632,1.221866012,19.16312599,0,0.587273324,1.137931972,1.168747624,1.205279004,1.992456285,0.01108425869,0.01789492927,0,0,0.45,0,0,0.9894825395,1.105505117,1.202537224,1.271779672,1.930437143,0.05416972519,0.05743141472,0.01,0,0.06,191,0.01613628864
R,cap2,0,0.001,9,6,0.1044916667,0.1158333346,0.1158333346,1,1,-1.906206608,0.7814855576,-6.051375866,0,0,0.4099999964,0.4099999964,0.02203488536,0,-0.5392045379,1,1.000002122,1.187597632,1.221866012,18.7014122,0,0.587273324,1.137931972,1.168747624,1.205279004,1.992456285,0.01108425869,0.01789492927,0,0,0.45,0,0,0.9894825395,1.105505117,1.202537224,1.271779672,1.930437143,0.05416972519,0.02236076538,0.01,0,0.06,0,0
R,cap2,0,0.001,9,7,0.09784375,0.1041666642,0.1041666642,1,1,-1.906206608,0.7814855576,-6.051375866,0,0,0.5699999928,0.5699999928,-0.001787559944,0,-0.5392045379,0,1.000001881,1.187597632,1.221866012,18.32123375,0,0.587273324,1.137931972,1.168747624,1.205279004,1.992456285,0.01108425869,0.01789492927,0,0,0.45,0,0,0.9894825395,1.105505117,1.202537224,1.271779672,1.930437143,0.05416972519,-0.001716148399,0.01,0,0.06,0,0
R,cap2,0,0.001,9,8,0.096375,0.1075000018,0.1075000018,1,1,-1.906206608,0.7814855576,-6.051375866,0,0,0.7400000095,0.7400000095,-0.002439385746,0,-0.5392045379,0,1.000001775,1.187597632,1.221866012,18.022192,0,0.587273324,1.137931972,1.168747624,1.205279004,1.992456285,0.01108425869,0.01789492927,0,0,0.45,0,0,0.9894825395,1.105505117,1.202537224,1.271779672,1.930437143,0.05416972519,-0.00243251631,0.01,0,0.06,0,0
R,cap2,0,0.001,9,9,0.1164583333,0.1166666672,0.1166666672,1,1,-1.906206608,0.7814855576,-6.051375866,0,0,0.8500000238,0.8500000238,-0.002769732382,0,-0.5392045379,0,1.000001106,1.187597632,1.221866012,17.80854034,0,0.587273324,1.137931972,1.168747624,1.205279004,1.992456285,0.01108425869,0.01789492927,0,0,0.45,0,0,0.9894825395,1.105505117,1.202537224,1.271779672,1.930437143,0.05416972519,-0.002766918973,0.01,0,0.06,0,0
R,cap2,0,0.001,9,10,0.1037520833,0.1066666692,0.1066666692,1,1,-1.906206608,0.7814855576,-6.051375866,0,0,0.9700000286,0.9700000286,-0.003146122908,0,-0.5392045379,0,1.000000124,1.187597632,1.221866012,17.67647171,0,0.587273324,1.137931972,1.168747624,1.205279004,1.992456285,0.01108425869,0.01789492927,0,0,0.45,0,0,0.9894825395,1.105505117,1.202537224,1.271779672,1.930437143,0.05416972519,-0.003124121111,0.01,0,0.06,0,0
R,cap2,0,0.001,9,11,0.1130479167,0.113333337,0.113333337,1,1,-1.906206608,0.7814855576,-6.051375866,0,0,1,1,-0.003300726414,0,-0.5392045379,0,0,1.187597632,1.221866012,17.67250252,0,0.587273324,1.137931972,1.168747624,1.205279004,1.992456285,0.01108425869,0.01789492927,0,0,0.45,0,0,0.9894825395,1.105505117,1.202537224,1.271779672,1.930437143,0.05416972519,-0.003299130243,0.01,0,0.06,0,0
R,cap2,0,0.001,9,12,0.11135625,0.1174999997,0.1174999997,1,1,-1.906206608,0.7814855576,-6.051375866,0,0,1,1,-0.003300726414,0,-0.5392045379,0,0,1.187597632,1.221866012,17.67250252,0,0.587273324,1.137931972,1.168747624,1.205279004,1.992456285,0.01108425869,0.01789492927,0,0,0.45,0,0,0.9894825395,1.105505117,1.202537224,1.271779672,1.930437143,0.05416972519,-0.003299130243,0.01,0,0.06,0,0
R,cap2,0,0.001,9,13,0.11248125,0.112499997,0.112499997,1,1,-1.906206608,0.7814855576,-6.051375866,0,0,1,1,-0.003300726414,0,-0.5392045379,0,0,1.187597632,1.221866012,17.67250252,0,0.587273324,1.137931972,1.168747624,1.205279004,1.992456285,0.01108425869,0.01789492927,0,0,0.45,0,0,0.9894825395,1.105505117,1.202537224,1.271779672,1.930437143,0.05416972519,-0.003299130243,0.01,0,0.06,0,0
R,cap2,0,0.001,9,14,0.1188354167,0.1191666648,0.1191666648,1,1,-1.906206608,0.7814855576,-6.051375866,0,0,1,1,-0.003300726414,0,-0.5392045379,0,0,1.187597632,1.221866012,17.67250252,0,0.587273324,1.137931972,1.168747624,1.205279004,1.992456285,0.01108425869,0.01789492927,0,0,0.45,0,0,0.9894825395,1.105505117,1.202537224,1.271779672,1.930437143,0.05416972519,-0.003299130243,0.01,0,0.06,0,0
R,cap2,0,0.001,9,15,0.1121875,0.112499997,0.112499997,1,1,-1.906206608,0.7814855576,-6.051375866,0,0,1,1,-0.003300726414,0,-0.5392045379,0,0,1.187597632,1.221866012,17.67250252,0,0.587273324,1.137931972,1.168747624,1.205279004,1.992456285,0.01108425869,0.01789492927,0,0,0.45,0,0,0.9894825395,1.105505117,1.202537224,1.271779672,1.930437143,0.05416972519,-0.003299130243,0.01,0,0.06,0,0
R,cap2,0,0.001,9,16,0.1113270833,0.1116666645,0.1116666645,1,1,-1.906206608,0.7814855576,-6.051375866,0,0,1,1,-0.003300726414,0,-0.5392045379,0,0,1.187597632,1.221866012,17.67250252,0,0.587273324,1.137931972,1.168747624,1.205279004,1.992456285,0.01108425869,0.01789492927,0,0,0.45,0,0,0.9894825395,1.105505117,1.202537224,1.271779672,1.930437143,0.05416972519,-0.003299130243,0.01,0,0.06,0,0
R,cap2,0,0.001,9,17,0.1113375,0.1116666645,0.1116666645,1,1,-1.906206608,0.7814855576,-6.051375866,0,0,1,1,-0.003300726414,0,-0.5392045379,0,0,1.187597632,1.221866012,17.67250252,0,0.587273324,1.137931972,1.168747624,1.205279004,1.992456285,0.01108425869,0.01789492927,0,0,0.45,0,0,0.9894825395,1.105505117,1.202537224,1.271779672,1.930437143,0.05416972519,-0.003299130243,0.01,0,0.06,0,0
R,cap2,0,0.001,9,18,0.1121020833,0.112499997,0.112499997,1,1,-1.906206608,0.7814855576,-6.051375866,0,0,1,1,-0.003300726414,0,-0.5392045379,0,0,1.187597632,1.221866012,17.67250252,0,0.587273324,1.137931972,1.168747624,1.205279004,1.992456285,0.01108425869,0.01789492927,0,0,0.45,0,0,0.9894825395,1.105505117,1.202537224,1.271779672,1.930437143,0.05416972519,-0.003299130243,0.01,0,0.06,0,0
R,cap2,0,0.001,9,19,0.1180395833,0.1183333322,0.1183333322,1,1,-1.906206608,0.7814855576,-6.051375866,0,0,1,1,-0.003300726414,0,-0.5392045379,0,0,1.187597632,1.221866012,17.67250252,0,0.587273324,1.137931972,1.168747624,1.205279004,1.992456285,0.01108425869,0.01789492927,0,0,0.45,0,0,0.9894825395,1.105505117,1.202537224,1.271779672,1.930437143,0.05416972519,-0.003299130243,0.01,0,0.06,0,0
R,cap2,0,0.001,9,20,0.1130604167,0.113333337,0.113333337,1,1,-1.906206608,0.7814855576,-6.051375866,0,0,1,1,-0.003300726414,0,-0.5392045379,0,0,1.187597632,1.221866012,17.67250252,0,0.587273324,1.137931972,1.168747624,1.205279004,1.992456285,0.01108425869,0.01789492927,0,0,0.45,0,0,0.9894825395,1.105505117,1.202537224,1.271779672,1.930437143,0.05416972519,-0.003299130243,0.01,0,0.06,0,0
R,cap2,0,0.001,9,21,0.1257791667,0.1258333325,0.1258333325,1,1,-1.906206608,0.7814855576,-6.051375866,0,0,1,1,-0.003300726414,0,-0.5392045379,0,0,1.187597632,1.221866012,17.67250252,0,0.587273324,1.137931972,1.168747624,1.205279004,1.992456285,0.01108425869,0.01789492927,0,0,0.45,0,0,0.9894825395,1.105505117,1.202537224,1.271779672,1.930437143,0.05416972519,-0.003299130243,0.01,0,0.06,0,0
R,cap2,0,0.001,9,22,0.11806875,0.1183333322,0.1183333322,1,1,-1.906206608,0.7814855576,-6.051375866,0,0,1,1,-0.003300726414,0,-0.5392045379,0,0,1.187597632,1.221866012,17.67250252,0,0.587273324,1.137931972,1.168747624,1.205279004,1.992456285,0.01108425869,0.01789492927,0,0,0.45,0,0,0.9894825395,1.105505117,1.202537224,1.271779672,1.930437143,0.05416972519,-0.003299130243,0.01,0,0.06,0,0
R,cap2,0,0.001,9,23,0.1049354167,0.1066666692,0.1066666692,1,1,-1.906206608,0.7814855576,-6.051375866,0,0,1,1,-0.003300726414,0,-0.5392045379,0,0,1.187597632,1.221866012,17.67250252,0,0.587273324,1.137931972,1.168747624,1.205279004,1.992456285,0.01108425869,0.01789492927,0,0,0.45,0,0,0.9894825395,1.105505117,1.202537224,1.271779672,1.930437143,0.05416972519,-0.003299130243,0.01,0,0.06,0,0
R,cap2,0,0.001,9,24,0.11898125,0.1191666648,0.1191666648,1,1,-1.906206608,0.7814855576,-6.051375866,0,0,1,1,-0.003300726414,0,-0.5392045379,0,0,1.187597632,1.221866012,17.67250252,0,0.587273324,1.137931972,1.168747624,1.205279004,1.992456285,0.01108425869,0.01789492927,0,0,0.45,0,0,0.9894825395,1.105505117,1.202537224,1.271779672,1.930437143,0.05416972519,-0.003299130243,0.01,0,0.06,0,0
