act,reg,lam,seed,task,tensor,ndim,numel,sq_norm,norm,norm0,norm_ratio,cos_w0,dist_w0,pen_l2,pen_l2init,pen_shell,pen_angular,reg_loss,arm
R,l2,0.001,8,0,W1,2,78400,33.57062347,5.794016178,5.794016178,1,1,0,0.03357062347,0,0,-1.490835165e-17,0.03357062347,l2
R,l2,0.001,8,0,b1,1,100,0.04189745296,0.2046886733,0.2046886733,1,1,0,4.189745296e-05,0,0,0,4.189745296e-05,l2
R,l2,0.001,8,0,W2,2,10000,33.57408639,5.794315006,5.794315006,1,1,0,0.03357408639,0,0,0,0.03357408639,l2
R,l2,0.001,8,0,b2,1,100,0.3438184968,0.5863603814,0.5863603814,1,1,0,0.0003438184968,0,0,-1.526860846e-19,0.0003438184968,l2
R,l2,0.001,8,0,W3,2,1000,3.352380277,1.830950648,1.830950648,1,1,0,0.003352380277,0,0,7.443779541e-19,0.003352380277,l2
R,l2,0.001,8,0,b3,1,10,0.03608145601,0.1899511938,0.1899511938,1,1,0,3.608145601e-05,0,0,0,3.608145601e-05,l2
R,l2,0.001,8,1,W1,2,78400,158.6950932,12.59742407,5.794016178,2.174212788,0.03009800213,13.70664181,0.1586950932,0.1878720297,0.04628635896,0.1415856707,0.1586950932,l2
R,l2,0.001,8,1,b1,1,100,0.3110518004,0.5577201811,0.2046886733,2.724724198,-0.0387736024,0.6014997631,0.0003110518004,0.000361801965,0.0001246312455,0.0002371707195,0.0003110518004,l2
R,l2,0.001,8,1,W2,2,10000,85.69828957,9.257337067,5.794315006,1.597658577,0.1864260309,9.96356455,0.08569828957,0.09927261855,0.0119925218,0.08728009676,0.08569828957,l2
R,l2,0.001,8,1,b2,1,100,0.5387010508,0.7339625677,0.5863603814,1.251726056,0.2196876923,0.8327226849,0.0005387010508,0.0006934270699,2.178640541e-05,0.0006716406645,0.0005387010508,l2
R,l2,0.001,8,1,W3,2,1000,76.56962965,8.750407399,1.830950648,4.779160709,0.6394396532,7.709238817,0.07656962965,0.05943236314,0.04787888172,0.01155348142,0.07656962965,l2
R,l2,0.001,8,1,b3,1,10,0.005785953138,0.07606545299,0.1899511938,0.4004473543,0.3926774005,0.1746998417,5.785953138e-06,3.05200347e-05,1.296996195e-05,1.755007275e-05,5.785953138e-06,l2
R,l2,0.001,8,2,W1,2,78400,123.488938,11.11255767,5.794016178,1.917936942,0.01030213134,12.4793,0.123488938,0.1557329284,0.02828688361,0.1274460448,0.123488938,l2
R,l2,0.001,8,2,b1,1,100,0.3182047812,0.564096429,0.2046886733,2.755875154,-0.08785217225,0.6167574782,0.0003182047812,0.0003803897869,0.0001291739349,0.000251215852,0.0003182047812,l2
R,l2,0.001,8,2,W2,2,10000,78.80568638,8.877256692,5.794315006,1.532063183,0.1066752419,10.07003135,0.07880568638,0.1014055313,0.009504529441,0.09190100186,0.07880568638,l2
R,l2,0.001,8,2,b2,1,100,1.099717991,1.048674397,0.5863603814,1.788446884,0.1723107508,1.10978752,0.001099717991,0.00123162834,0.0002137342489,0.001017894091,0.001099717991,l2
R,l2,0.001,8,2,W3,2,1000,76.77091921,8.761901575,1.830950648,4.785438418,0.560142283,7.883591302,0.07677091921,0.06215101181,0.04803808075,0.01411293107,0.07677091921,l2
R,l2,0.001,8,2,b3,1,10,0.01586981723,0.1259754628,0.1899511938,0.6631991108,0.4182650953,0.1787002623,1.586981723e-05,3.193378375e-05,4.092894152e-06,2.78408896e-05,1.586981723e-05,l2
R,l2,0.001,8,3,W1,2,78400,125.2150436,11.1899528,5.794016178,1.93129471,0.002913157124,12.58602079,0.1252150436,0.1584079193,0.02911613199,0.1292917873,0.1252150436,l2
R,l2,0.001,8,3,b1,1,100,0.3083906031,0.5553292745,0.2046886733,2.7130435,-0.08365690447,0.6077059748,0.0003083906031,0.0003693065518,0.0001229488312,0.0002463577206,0.0003083906031,l2
R,l2,0.001,8,3,W2,2,10000,81.70159934,9.038893701,5.794315006,1.559958976,0.06375642095,10.42100297,0.08170159934,0.108597303,0.01052729091,0.09807001207,0.08170159934,l2
R,l2,0.001,8,3,b2,1,100,1.105697392,1.051521465,0.5863603814,1.793302376,0.1712032695,1.112833369,0.001105697392,0.001238398108,0.0002163748338,0.001022023274,0.001105697392,l2
R,l2,0.001,8,3,W3,2,1000,79.9001303,8.938687281,1.830950648,4.881992471,0.5009499573,8.176498073,0.0799001303,0.06685512075,0.05051992004,0.01633520071,0.0799001303,l2
R,l2,0.001,8,3,b3,1,10,0.02907194295,0.1705049646,0.1899511938,0.8976251279,0.5925607969,0.1636157977,2.907194295e-05,2.677012927e-05,3.781558286e-07,2.639197344e-05,2.907194295e-05,l2
R,l2,0.001,8,4,W1,2,78400,126.7653423,11.2590116,5.794016178,1.943213698,0.005145466081,12.63584734,0.1267653423,0.1596646379,0.029866175,0.1297984629,0.1267653423,l2
R,l2,0.001,8,4,b1,1,100,0.364322336,0.6035911994,0.2046886733,2.948825598,-0.06715622202,0.6502413864,0.000364322336,0.0004228138606,0.0001591232253,0.0002636906353,0.000364322336,l2
