act,arm,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,wt_q10_l1,wt_med_l1,wt_q90_l1,wt_max_l1,wt_ratio0_med_l1,rowmean_abs_med_l1,b_med_l1,exceed_t1_frac_l1,exceed_2x0_frac_l1,bind_frac_l1,proj_rows_l1,proj_removed_l1,wt_q10_l2,wt_med_l2,wt_q90_l2,wt_max_l2,wt_ratio0_med_l2,rowmean_abs_med_l2,b_med_l2,exceed_t1_frac_l2,exceed_2x0_frac_l2,bind_frac_l2,proj_rows_l2,proj_removed_l2
R,l2,0.001,0.001,8,1,0.952925,1,1,0.2199999988,0.2199999988,-0.08073823154,0.8505871296,-2.295153379,0.3658333421,56.91552027,0.150000006,0.150000006,0.5733523369,0.4236025214,-0.05150708184,0.9183333516,18.7964993,1.329766512,1.005135059,2.756165981,0.3218185512,0.0002647880867,1.346442326,1.714201332,1.939261539,2.329276458,0.0007828576181,-8.38099777e-06,0,0.66,nan,nan,nan,0.0001696075717,0.9977591085,1.128548498,1.225635846,1.756408348,0.0145292034,0.06973626092,0,0.12,nan,nan,nan
R,l2,0.001,0.001,8,2,0.9463229167,1,1,0.25,0.25,-0.1358661503,0.7345472574,-0.5746291876,0.3166666627,53.55949713,0.02999999933,0.02999999933,0.4053002596,0.3041033447,-0.003697708482,0.9275000095,16.52090507,1.229354382,0.8785273433,2.774989128,0.2804993362,0.0002364326948,1.227508573,1.603035028,1.793369871,2.134657372,0.000503691258,-1.065834613e-05,0.31,0.54,nan,nan,nan,0.000225497449,0.8733520889,1.206396368,1.408500969,1.50283353,0.01175548668,0.08121950924,0.45,0.14,nan,nan,nan
R,l2,0.001,0.001,8,3,0.9422395833,1,1,0.3199999928,0.3199999928,-0.06703938544,0.692612052,-1.51767838,0.2675000131,48.79203428,0.02999999933,0.02999999933,0.3801079392,0.3124456406,-3.287706022e-06,0.9166666865,16.01742856,1.149397969,0.8773645759,2.832324743,0.2882599332,0.0001764462173,1.179311437,1.721609541,1.965708283,2.013314182,0.0006050197446,-2.721452347e-06,0.36,0.5,nan,nan,nan,9.697227112e-05,0.8742140671,1.265791063,1.595999339,1.549430927,0.01000083676,0.08295119926,0.41,0.23,nan,nan,nan
R,l2,0.001,0.001,8,4,0.9387354167,1,1,0.3600000143,0.3600000143,-0.07954951376,0.7024363875,-0.9200252295,0.2683333457,44.93424211,0.1000000015,0.1000000015,0.3971645832,0.3130537868,-0.0005549280904,0.9191666842,16.16016504,1.164149284,0.8521747589,2.779073477,0.2846364117,0.0001882922837,1.175242574,1.73542978,1.935618403,2.046169086,0.0005242172224,-0.0001044299352,0.41,0.51,nan,nan,nan,0.000146106636,0.8490607344,1.255916573,1.488067607,1.461917267,0.008134584024,0.07407133654,0.46,0.21,nan,nan,nan
R,l2,0.001,0.001,8,5,0.94920625,1,1,0.3899999857,0.3899999857,-0.2606815696,0.691952765,-1.388509989,0.1825000048,45.71344133,0.09000000358,0.09000000358,0.3610926569,0.3058625162,-0.00430371426,0.8991666436,14.11660439,1.062621713,0.8688826561,2.859693289,0.3081046092,0.0002051385864,1.084295753,1.824182622,2.209777837,1.857991176,0.000641281582,-0.0002353783639,0.43,0.49,nan,nan,nan,0.0001680345706,0.87085648,1.331326775,1.568321788,1.524388066,0.008762732055,0.0922216773,0.43,0.25,nan,nan,nan
R,l2,0.001,0.001,8,6,0.9399166667,1,1,0.3400000036,0.3400000036,-0.3097243607,0.7661511898,-1.361503124,0.2333333343,48.55113687,0.07999999821,0.07999999821,0.3208124936,0.3031333983,-0.006321884226,0.9041666389,14.249109,1.254341245,0.8812561631,2.918137312,0.3241239776,0.0002215467263,1.272365508,1.79318857,2.077043607,2.185997709,0.0009064974416,-8.259793685e-05,0.5,0.54,nan,nan,nan,0.0002060455337,0.8880699841,1.392689738,1.768996755,1.581329359,0.008329427046,0.1030932255,0.48,0.26,nan,nan,nan
R,l2,0.001,0.001,8,7,0.9312041667,1,1,0.25,0.25,-0.2303892821,0.7692084312,-0.9043465257,0.2524999976,48.49114054,0.09000000358,0.09000000358,0.3475389183,0.3030458391,-0.005079980474,0.9108333588,12.85568049,1.181471586,0.9311931729,2.80850172,0.3009952115,0.0001821703463,1.230859817,1.759424019,2.06601746,2.145823412,0.0004658253517,-9.394263316e-06,0.46,0.51,nan,nan,nan,0.0001384745052,0.9259382562,1.271367667,1.765935862,1.578249669,0.009279625837,0.08148597926,0.5,0.23,nan,nan,nan
R,l2,0.001,0.001,8,8,0.9406229167,0.9975000024,0.9975000024,0.3799999952,0.3799999952,-0.23809506,0.8177024722,-2.470487356,0.1966666728,42.60295119,0.2399999946,0.2399999946,0.4230965078,0.3204188049,-0.2513144314,0.885833323,13.80669651,1.300705552,0.8954734206,2.857184172,0.3282478569,0.0002456263283,1.301466821,1.854189298,2.141121425,2.220716822,0.0009534343657,-6.455879702e-05,0.51,0.54,nan,nan,nan,0.000514871506,0.9010415904,1.339188883,1.759445996,1.612709077,0.003490255278,0.03277272172,0.57,0.3,nan,nan,nan
R,l2,0.001,0.001,8,9,0.9513166667,1,1,0.2899999917,0.2899999917,-0.1926891506,0.744158864,-0.6660628915,0.2741666734,43.52501906,0.1800000072,0.1800000072,0.5449226499,0.3048060238,-0.01011313777,0.9624999762,10.05431423,1.215584159,0.811065495,2.73904109,0.288188815,0.0002010668701,1.227998724,1.72364559,2.021458751,2.120301691,0.0006160745217,-8.929025853e-06,0.43,0.53,nan,nan,nan,8.184554826e-05,0.8324606975,1.272187444,1.576568305,1.471075088,0.004573604487,0.03559458442,0.5,0.22,nan,nan,nan
R,l2,0.001,0.001,8,10,0.95115,1,1,0.2899999917,0.2899999917,-0.2737159431,0.7759048343,-0.8273122311,0.2433333397,48.33240487,0.1400000006,0.1400000006,0.4313878417,0.2998377979,-0.04107783735,0.9358333349,12.16368838,1.252172351,0.8520064354,2.812301397,0.3020318001,0.0002188725028,1.252118961,1.788854018,1.979382731,2.151228134,0.0007402620416,-5.318041758e-06,0.47,0.56,nan,nan,nan,0.0001316471734,0.8513425642,1.322624844,1.698296475,1.485427402,0.005858054782,0.05487079173,0.51,0.25,nan,nan,nan
