act,reg,lam,seed,task,tensor,ndim,numel,sq_norm,norm,norm0,norm_ratio,cos_w0,dist_w0,pen_l2,pen_l2init,pen_shell,pen_angular,reg_loss,arm
R,none,0,3,0,W1,2,78400,33.57720459,5.794584074,5.794584074,1,1,0,0.03357720459,0,0,1.491127425e-17,0,ref
R,none,0,3,0,b1,1,100,0.04716931331,0.2171849749,0.2171849749,1,1,0,4.716931331e-05,0,0,0,0,ref
R,none,0,3,0,W2,2,10000,33.29890077,5.770519974,5.770519974,1,1,0,0.03329890077,0,0,0,0,ref
R,none,0,3,0,b2,1,100,0.342991083,0.5856544058,0.5856544058,1,1,0,0.000342991083,0,0,0,0,ref
R,none,0,3,0,W3,2,1000,3.34721826,1.829540451,1.829540451,1,1,0,0.00334721826,0,0,0,0,ref
R,none,0,3,0,b3,1,10,0.03283215297,0.1811964486,0.1811964486,1,1,0,3.283215297e-05,0,0,0,0,ref
R,none,0,3,1,W1,2,78400,1039.679437,32.2440605,5.794584074,5.564516812,0.2133422704,31.52038246,1.039679437,0.9935345102,0.6995748032,0.293959707,0,ref
R,none,0,3,1,b1,1,100,0.3864786138,0.6216740415,0.2171849749,2.862417356,0.3597230136,0.580094454,0.0003864786138,0.0003365095756,0.000163611405,0.0001728981706,0,ref
R,none,0,3,1,W2,2,10000,434.1501656,20.83627043,5.770519974,3.610813328,0.4555476763,18.91831126,0.4341501656,0.357902501,0.2269768369,0.1309256641,0,ref
R,none,0,3,1,b2,1,100,1.061654688,1.030366288,0.5856544058,1.75934182,0.6187751946,0.8110857851,0.001061654688,0.0006578601508,0.0001977686584,0.0004600914924,0,ref
R,none,0,3,1,W3,2,1000,143.2702873,11.96955669,1.829540451,6.542384282,0.6768050005,10.81550216,0.1432702873,0.1169750869,0.1028199293,0.01415515764,0,ref
R,none,0,3,1,b3,1,10,0.0332593458,0.1823714501,0.1811964486,1.006484683,0.8692504832,0.0929657552,3.32593458e-05,8.64263164e-06,1.380628559e-09,8.641251012e-06,0,ref
R,none,0,3,2,W1,2,78400,2293.766541,47.89328284,5.794584074,8.265180422,0.1456074777,47.39752409,2.293766541,2.24652529,1.772300438,0.4742248519,0,ref
R,none,0,3,2,b1,1,100,0.7548496311,0.868820828,0.2171849749,4.000372624,0.3270336544,0.8237717068,0.0007548496311,0.000678599825,0.000424629285,0.0002539705399,0,ref
R,none,0,3,2,W2,2,10000,1062.108646,32.59000838,5.770519974,5.647672744,0.3339418142,31.14168408,1.062108646,0.9698044872,0.7192849582,0.250519529,0,ref
R,none,0,3,2,b2,1,100,35.85344116,5.987774307,0.5856544058,10.22407455,0.1974578854,5.900131768,0.03585344116,0.03481155488,0.02918289943,0.00562865545,0,ref
R,none,0,3,2,W3,2,1000,690.934462,26.28563224,1.829540451,14.36734139,0.5890944796,25.2511749,0.690934462,0.637621834,0.5981004254,0.0395214086,0,ref
R,none,0,3,2,b3,1,10,0.2311960594,0.4808285135,0.1811964486,2.653631003,-0.240642063,0.5531363414,0.0002311960594,0.0003059598122,8.977937432e-05,0.0002161804379,0,ref
R,none,0,3,3,W1,2,78400,2564.309969,50.63901627,5.794584074,8.739025204,0.1373057381,50.17277517,2.564309969,2.517307368,2.011023099,0.5062842695,0,ref
R,none,0,3,3,b1,1,100,1.811150972,1.345790092,0.2171849749,6.196515634,0.2373773978,1.311318572,0.001811150972,0.001719556396,0.001273749511,0.0004458068854,0,ref
R,none,0,3,3,W2,2,10000,1175.684427,34.28825494,5.770519974,5.941969718,0.3086418547,32.96736141,1.175684427,1.086846919,0.8132612077,0.2735857109,0,ref
R,none,0,3,3,b2,1,100,85.38663588,9.240488942,0.5856544058,15.77805759,0.1466069062,9.172940209,0.08538663588,0.08414283208,0.07490616084,0.009236671239,0,ref
R,none,0,3,3,W3,2,1000,1185.609588,34.43268198,1.829540451,18.82039939,0.5139744658,33.52909411,1.185609588,1.124200152,1.062964838,0.06123531404,0,ref
R,none,0,3,3,b3,1,10,0.2294437542,0.4790028749,0.1811964486,2.643555537,-0.2462469545,0.5522872769,0.0002294437542,0.0003050212362,8.868866758e-05,0.0002163325687,0,ref
R,none,0,3,4,W1,2,78400,2596.682665,50.95765561,5.794584074,8.794014369,0.1360966843,50.49640623,2.596682665,2.549887042,2.03970303,0.5101840115,0,ref
R,none,0,3,4,b1,1,100,2.693906778,1.641312517,0.2171849749,7.557210243,0.2188132665,1.60781717,0.002693906778,0.002585076054,0.002028139256,0.0005569367977,0,ref
R,none,0,3,4,W2,2,10000,1189.287694,34.48605072,5.770519974,5.97624666,0.302593888,33.19868594,1.189287694,1.102152748,0.8245817059,0.2775710422,0,ref
R,none,0,3,4,b2,1,100,119.4958266,10.93141466,0.5856544058,18.66529912,0.1208669943,10.87617714,0.1194958266,0.1182912291,0.1070347553,0.01125647379,0,ref
R,none,0,3,4,W3,2,1000,1425.670766,37.75805564,1.829540451,20.6379999,0.4917972732,36.89270091,1.425670766,1.361071381,1.290858204,0.07021317706,0,ref
R,none,0,3,4,b3,1,10,0.2538240577,0.5038095451,0.1811964486,2.780460374,-0.2730466675,0.5800933134,0.0002538240577,0.0003365082523,0.00010407921,0.0002324290422,0,ref
R,none,0,3,5,W1,2,78400,2599.320443,50.9835311,5.794584074,8.798479831,0.1360231473,50.52254406,2.599320443,2.552527458,2.042040933,0.5104865247,0,ref
R,none,0,3,5,b1,1,100,3.111368374,1.763907133,0.2171849749,8.121681226,0.2155314391,1.730144512,0.003111368374,0.002993400031,0.002392349435,0.000601050596,0,ref
R,none,0,3,5,W2,2,10000,1201.029977,34.6558794,5.770519974,6.005677054,0.3024810163,33.36685618,1.201029977,1.113347092,0.834363989,0.2789831026,0,ref
R,none,0,3,5,b2,1,100,123.4697167,11.11169279,0.5856544058,18.97312251,0.09804818982,11.06962459,0.1234697167,0.1225365886,0.1107974841,0.01173910455,0,ref
R,none,0,3,5,W3,2,1000,1454.400013,38.13659677,1.829540451,20.84490494,0.4843825787,37.28477057,1.454400013,1.390154116,1.318202338,0.07195177781,0,ref
R,none,0,3,5,b3,1,10,0.2647347828,0.5145238408,0.1811964486,2.8395912,-0.2739884173,0.5904699461,0.0002647347828,0.0003486547572,0.0001111071504,0.0002375476068,0,ref
R,none,0,3,6,W1,2,78400,2601.754948,51.00740091,5.794584074,8.802599162,0.1357294848,50.54797649,2.601754948,2.555097928,2.044198806,0.5108991214,0,ref
R,none,0,3,6,b1,1,100,3.298525467,1.816184315,0.2171849749,8.36238472,0.2170148261,1.781710604,0.003298525467,0.003174492676,0.002556798891,0.0006176937855,0,ref
R,none,0,3,6,W2,2,10000,1203.01283,34.68447534,5.770519974,6.010632577,0.300366828,33.40772989,1.20301283,1.116076416,0.8360168148,0.2800596014,0,ref
R,none,0,3,6,b2,1,100,127.9171597,11.31004685,0.5856544058,19.31181041,0.07827299747,11.27932732,0.1279171597,0.1272232248,0.1150125933,0.0122106315,0,ref
R,none,0,3,6,W3,2,1000,1502.377546,38.76051529,1.829540451,21.18592966,0.4693540095,37.9362266,1.502377546,1.439157289,1.363896903,0.0752603859,0,ref
R,none,0,3,6,b3,1,10,0.2777345843,0.5270052981,0.1811964486,2.908474765,-0.2500763865,0.5986042682,0.0002777345843,0.0003583270699,0.0001195837604,0.0002387433095,0,ref
R,none,0,3,7,W1,2,78400,2603.291143,51.02245724,5.794584074,8.805197507,0.1355912333,50.56374382,2.603291143,2.556692189,2.045560511,0.5111316775,0,ref
R,none,0,3,7,b1,1,100,3.389363508,1.841022408,0.2171849749,8.476748492,0.2139860484,1.807044944,0.003389363508,0.003265411429,0.002636848011,0.0006285634184,0,ref
R,none,0,3,7,W2,2,10000,1205.853294,34.72539841,5.770519974,6.017724324,0.3007649882,33.44570899,1.205853294,1.11861545,0.838384985,0.2802304649,0,ref
R,none,0,3,7,b2,1,100,127.5005094,11.29161235,0.5856544058,19.28033365,0.07562875396,11.2624703,0.1275005094,0.1268432372,0.1146175354,0.01222570178,0,ref
R,none,0,3,7,W3,2,1000,1524.405548,39.04363646,1.829540451,21.34067954,0.4591918491,38.23808132,1.524405548,1.462150863,1.384888942,0.07726192076,0,ref
R,none,0,3,7,b3,1,10,0.2818931486,0.530936106,0.1811964486,2.93016839,-0.2368919969,0.6002541897,0.0002818931486,0.0003603050922,0.000122317828,0.0002379872643,0,ref
R,none,0,3,8,W1,2,78400,2604.48022,51.0341084,5.794584074,8.807208204,0.1355494342,50.57556405,2.60448022,2.557887679,2.046614561,0.5112731179,0,ref
R,none,0,3,8,b1,1,100,3.405444252,1.845384581,0.2171849749,8.49683355,0.2154825879,1.811045863,0.003405444252,0.003279887117,0.002651033958,0.0006288531595,0,ref
R,none,0,3,8,W2,2,10000,1206.919653,34.74074917,5.770519974,6.020384528,0.3005388598,33.46220538,1.206919653,1.119719189,0.8392741796,0.280445009,0,ref
R,none,0,3,8,b2,1,100,124.4475675,11.155607,0.5856544058,19.04810565,0.06969603153,11.13013316,0.1244475675,0.1238798641,0.1117238978,0.01215596637,0,ref
R,none,0,3,8,W3,2,1000,1554.742361,39.43022142,1.829540451,21.55198121,0.449221719,38.64293729,1.554742361,1.493276602,1.413811209,0.07946539268,0,ref
R,none,0,3,8,b3,1,10,0.2802595406,0.5293954483,0.1811964486,2.921665698,-0.1952854935,0.592078584,0.0002802595406,0.0003505570496,0.0001212425434,0.0002293145062,0,ref
R,none,0,3,9,W1,2,78400,2604.664533,51.03591415,5.794584074,8.807519832,0.1355333168,50.57745237,2.604664533,2.558078688,2.046777947,0.5113007413,0,ref
R,none,0,3,9,b1,1,100,3.438888505,1.854424036,0.2171849749,8.538454545,0.21343973,1.820475438,0.003438888505,0.003314130819,0.002680551743,0.000633579076,0,ref
R,none,0,3,9,W2,2,10000,1211.711786,34.80965077,5.770519974,6.032324803,0.3003394172,33.5313653,1.211711786,1.124352459,0.8432711172,0.2810813417,0,ref
R,none,0,3,9,b2,1,100,123.5621472,11.11585117,0.5856544058,18.98022291,0.05877679442,11.09684004,0.1235621472,0.1231398589,0.1108850439,0.01225481501,0,ref
R,none,0,3,9,W3,2,1000,1606.065811,40.07575091,1.829540451,21.90481817,0.4372578091,39.31021957,1.606065811,1.545293363,1.462772615,0.08252074828,0,ref
R,none,0,3,9,b3,1,10,0.2380751972,0.4879295002,0.1811964486,2.692820439,-0.181950228,0.5505271901,0.0002380751972,0.0003030801871,9.408516499e-05,0.0002089950221,0,ref
R,none,0,3,10,W1,2,78400,2604.652969,51.03580085,5.794584074,8.80750028,0.1355192876,50.57742184,2.604652969,2.5580756,2.046767696,0.511307904,0,ref
R,none,0,3,10,b1,1,100,3.452385592,1.858059631,0.2171849749,8.555194169,0.2138766724,1.823989636,0.003452385592,0.003326938193,0.002692469636,0.0006344685569,0,ref
R,none,0,3,10,W2,2,10000,1220.328409,34.93319923,5.770519974,6.053735087,0.298898479,33.66187413,1.220328409,1.13312177,0.8504618616,0.2826599087,0,ref
R,none,0,3,10,b2,1,100,122.4648463,11.06638361,0.5856544058,18.89575747,0.06115384878,11.04604689,0.1224648463,0.1220151518,0.1098456847,0.01216946712,0,ref
R,none,0,3,10,W3,2,1000,1672.653472,40.89808641,1.829540451,22.35429471,0.4272857594,40.15043748,1.672653472,1.61205763,1.526351284,0.08570634642,0,ref
R,none,0,3,10,b3,1,10,0.2201395409,0.4691903035,0.1811964486,2.589401212,-0.2535549837,0.5441359761,0.0002201395409,0.0002960839605,8.294046051e-05,0.0002131435,0,ref
R,none,0,3,11,W1,2,78400,2604.916991,51.03838743,5.794584074,8.807946658,0.135487356,50.5801784,2.604916991,2.558354447,2.047001742,0.5113527052,0,ref
R,none,0,3,11,b1,1,100,3.485557776,1.866964857,0.2171849749,8.596197125,0.2125821696,1.833121068,0.003485557776,0.00336033285,0.002721773658,0.0006385591912,0,ref
R,none,0,3,11,W2,2,10000,1221.508264,34.95008247,5.770519974,6.05666086,0.2993451844,33.67585489,1.221508264,1.134063202,0.8514468673,0.2826163352,0,ref
R,none,0,3,11,b2,1,100,123.409102,11.10896494,0.5856544058,18.96846473,0.0582449456,11.09027539,0.123409102,0.1229942082,0.1107400646,0.01225414363,0,ref
R,none,0,3,11,W3,2,1000,1679.094822,40.97675953,1.829540451,22.39729628,0.4202554336,40.24214313,1.679094822,1.619430084,1.532504762,0.08692532232,0,ref
R,none,0,3,11,b3,1,10,0.2181513724,0.4670667751,0.1811964486,2.577681731,-0.2187886604,0.5366712793,0.0002181513724,0.000288016062,8.172184361e-05,0.0002062942184,0,ref
R,none,0,3,12,W1,2,78400,2605.011059,51.03930896,5.794584074,8.808105691,0.1354285941,50.58143756,2.605011059,2.558481825,2.04708513,0.5113966958,0,ref
R,none,0,3,12,b1,1,100,3.50565393,1.87233916,0.2171849749,8.620942406,0.2141133074,1.83812064,0.00350565393,0.003378687488,0.002739535376,0.0006391521119,0,ref
R,none,0,3,12,W2,2,10000,1225.295198,35.00421686,5.770519974,6.066042058,0.2984793087,33.73444702,1.225295198,1.138012916,0.8546090336,0.2834038821,0,ref
R,none,0,3,12,b2,1,100,121.4019921,11.01825721,0.5856544058,18.81358205,0.03520976267,11.01319997,0.1214019921,0.1212905736,0.1088392014,0.01245137225,0,ref
