act,arm,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,wt_q10_l1,wt_med_l1,wt_q90_l1,wt_max_l1,wt_ratio0_med_l1,rowmean_abs_med_l1,b_med_l1,exceed_t1_frac_l1,exceed_2x0_frac_l1,bind_frac_l1,proj_rows_l1,proj_removed_l1,wt_q10_l2,wt_med_l2,wt_q90_l2,wt_max_l2,wt_ratio0_med_l2,rowmean_abs_med_l2,b_med_l2,exceed_t1_frac_l2,exceed_2x0_frac_l2,bind_frac_l2,proj_rows_l2,proj_removed_l2
R,ref,0,0.001,9,1,0.9707083333,1,1,0.1899999976,0.1899999976,-0.6760137081,1.513110042,-4.434330463,0.2700000107,61.57327208,0.03999999911,0.03999999911,1.896140933,1.403580666,-1.96288085,0.9225000143,32.54125825,3.353244305,2.065461636,3.667639256,0,0.587273324,3.349934336,3.641118666,4.000881847,5.813546938,0.005519757082,0.008968388196,0,0.81,nan,nan,nan,1.836082768,2.033297847,2.239273396,2.560685466,3.528319073,0.03417997173,0.0612237975,0,0.96,nan,nan,nan
R,ref,0,0.001,9,2,0.7519458333,0.864166677,0.864166677,0.5400000215,0.5400000215,-4.733908176,2.332192659,-8.548261642,0,39.94258219,0,0,-0.00857181102,1.617203593,-1.179098845,0.4283333421,57.94276593,3.62976265,3.149243355,11.0449667,0,0.587273324,3.548023973,6.948872202,7.766570581,6.146116466,0.01638423176,-0.04035021365,0.67,0.81,nan,nan,nan,2.759407096,3.10611837,3.629841231,4.237206936,5.375602064,0.04315487453,-0.580817163,1,1,nan,nan,nan
R,ref,0,0.001,9,3,0.17623125,0.2183333337,0.2183333337,0.7099999785,0.7099999785,-5.890268326,2.421627998,-14.01160812,0,22.71473245,0,0,-0.8806530833,0.5969238877,-1.975608349,0.02749999985,29.19226108,3.635623455,3.302702188,12.7736187,0,0.587273324,3.548023973,7.206065494,7.876630631,6.146116466,0.02416416423,-0.06362108886,0.66,0.81,nan,nan,nan,2.704200605,3.269539939,3.786653715,4.463273781,5.676159764,0.04123909294,-0.9255284369,1,1,nan,nan,nan
R,ref,0,0.001,9,4,0.1219979167,0.1341666728,0.1341666728,0.8600000143,0.8600000143,-6.056171894,2.421627998,-17.24364662,0,11.83054661,0.01999999955,0.01999999955,-1.043200493,0.3127149642,-2.13959384,0.005833333358,12.34988454,3.635623455,3.327475548,13.19147205,0,0.587273324,3.548023973,7.209408932,7.823975509,6.146116466,0.02575697457,-0.07266988233,0.66,0.81,nan,nan,nan,2.694026737,3.289130201,3.865480052,4.616106438,5.736042565,0.04192583726,-1.038994551,1,1,nan,nan,nan
R,ref,0,0.001,9,5,0.1095145833,0.1191666648,0.1191666648,0.9200000167,0.9200000167,-6.056171894,2.421627998,-17.24364662,0,7.111565018,0.1599999964,0.1599999964,-1.081398129,0.1707882732,-2.255436897,0.002499999944,6.282810591,3.635623455,3.319942951,14.42499352,0,0.587273324,3.548023973,7.189945721,7.823975509,6.146116466,0.02620965856,-0.08416729793,0.66,0.81,nan,nan,nan,2.694099474,3.244664488,3.879161516,4.6536789,5.679223804,0.04540357471,-1.087936401,1,1,nan,nan,nan
R,ref,0,0.001,9,6,0.1094625,0.1183333322,0.1183333322,0.9599999785,0.9599999785,-6.056171894,2.421627998,-17.81378937,0,3.692741127,0.200000003,0.200000003,-1.104351521,0.1272022575,-2.212981939,0.001666666707,3.774180431,3.635623455,3.367248535,14.83296204,0,0.587273324,3.548023973,7.199330846,7.823975509,6.146116466,0.02620965856,-0.08757053688,0.66,0.81,nan,nan,nan,2.694099465,3.283280102,3.941076334,4.651545389,5.680771873,0.04494007692,-1.088552117,1,1,nan,nan,nan
R,ref,0,0.001,9,7,0.09978333333,0.1091666669,0.1091666669,0.9800000191,0.9800000191,-6.056171894,2.421627998,-17.81378937,0,1.972777165,0.400000006,0.400000006,-1.104480982,0.07003360987,-2.222479343,0.0008333333535,2.400305526,3.635623455,3.373579979,14.76332283,0,0.587273324,3.548023973,7.19815611,7.823975509,6.146116466,0.02620965856,-0.093115706,0.66,0.81,nan,nan,nan,2.694099465,3.275527434,3.932635356,4.655144316,5.674254928,0.0450653266,-1.088552117,1,1,nan,nan,nan
R,ref,0,0.001,9,8,0.0992875,0.1091666669,0.1091666669,0.9800000191,0.9800000191,-6.056171894,2.421627998,-17.81378937,0,1.807427483,0.4799999893,0.4799999893,-1.104657888,0.07658609748,-2.222355127,0.0008333333535,2.46660739,3.635623455,3.37586832,14.75557709,0,0.587273324,3.548023973,7.19815611,7.823975509,6.146116466,0.02620965856,-0.093115706,0.66,0.81,nan,nan,nan,2.694099465,3.295503394,3.917125395,4.675360151,5.683931162,0.04539690636,-1.088552117,1,1,nan,nan,nan
R,ref,0,0.001,9,9,0.11680625,0.1183333322,0.1183333322,0.9800000191,0.9800000191,-6.056171894,2.421627998,-17.81378937,0,1.995393637,0.4099999964,0.4099999964,-1.075527191,0.09065958112,-2.222329617,0.0008333333535,2.756616542,3.635623455,3.382021666,14.96934795,0,0.587273324,3.548023973,7.19815611,7.823975509,6.146116466,0.02620965856,-0.08940394595,0.66,0.81,nan,nan,nan,2.694099465,3.295681338,3.934055787,4.701476219,5.683020776,0.04508420317,-1.065390706,1,1,nan,nan,nan
R,ref,0,0.001,9,10,0.09837916667,0.1075000018,0.1075000018,0.9800000191,0.9800000191,-6.056171894,2.421627998,-17.81378937,0,1.992591074,0.4199999869,0.4199999869,-1.07571888,0.107523866,-2.222199202,0.0008333333535,2.763115029,3.635623455,3.378256559,15.0650816,0,0.587273324,3.548023973,7.19815611,7.823975509,6.146116466,0.02620965856,-0.08483567461,0.66,0.81,nan,nan,nan,2.694099465,3.279799847,3.932316915,4.71181956,5.680194431,0.04539690636,-1.065390706,1,1,nan,nan,nan
R,ref,0,0.001,9,11,0.1127125,0.1150000021,0.1150000021,0.9800000191,0.9800000191,-6.056171894,2.421627998,-17.81378937,0,1.968544737,0.4699999988,0.4699999988,-1.05774188,0.07723749429,-2.222432137,0.0008333333535,2.704594944,3.635623455,3.376029491,14.87406349,0,0.587273324,3.548023973,7.19815611,7.823975509,6.146116466,0.02620965856,-0.093115706,0.66,0.81,nan,nan,nan,2.694099465,3.294413114,3.935502866,4.739092137,5.681297372,0.04522888436,-1.042091429,1,1,nan,nan,nan
R,ref,0,0.001,9,12,0.1135625,0.1199999973,0.1199999973,0.9800000191,0.9800000191,-6.056171894,2.421627998,-17.81378937,0,1.992583395,0.3899999857,0.3899999857,-1.058137774,0.150996536,-2.221586466,0.0008333333535,2.835803697,3.635623455,3.383357525,15.1238575,0,0.587273324,3.548023973,7.19815611,7.823975509,6.146116466,0.02620965856,-0.08416729793,0.66,0.81,nan,nan,nan,2.694099465,3.279026205,3.939423904,4.695371041,5.684058786,0.04539690636,-1.019305587,1,1,nan,nan,nan
R,ref,0,0.001,9,13,0.11159375,0.113333337,0.113333337,0.9800000191,0.9800000191,-6.056171894,2.421627998,-17.81378937,0,1.883866925,0.4300000072,0.4300000072,-1.058156133,0.1094378307,-2.222036123,0.0008333333535,2.282934568,3.635623455,3.378739357,15.39689636,0,0.587273324,3.548023973,7.19815611,7.823975509,6.146116466,0.02620965856,-0.093115706,0.66,0.81,nan,nan,nan,2.693915432,3.29907905,3.936617036,4.700875754,5.676695779,0.0452380772,-1.034499884,1,1,nan,nan,nan
R,ref,0,0.001,9,14,0.1198020833,0.1199999973,0.1199999973,0.9800000191,0.9800000191,-6.056171894,2.421627998,-17.81378937,0,1.945572176,0.4300000072,0.4300000072,-1.058061361,0.117221579,-2.222053051,0.0008333333535,2.300867311,3.635623455,3.382232428,15.36756516,0,0.587273324,3.548023973,7.19815611,7.823975509,6.146116466,0.02620965856,-0.093115706,0.66,0.81,nan,nan,nan,2.693915432,3.315674367,3.939631696,4.69070482,5.682715032,0.0452380772,-1.025874346,1,1,nan,nan,nan
R,ref,0,0.001,9,15,0.1129583333,0.113333337,0.113333337,0.9800000191,0.9800000191,-6.056171894,2.421627998,-17.81378937,0,1.947049852,0.4199999869,0.4199999869,-1.058209181,0.1454478949,-2.245692492,0.0008333333535,2.276276323,3.635623455,3.383227825,15.36022282,0,0.587273324,3.548023973,7.19815611,7.823975509,6.146116466,0.02620965856,-0.08839816228,0.66,0.81,nan,nan,nan,2.693915432,3.313311592,3.940531341,4.682993892,5.677988199,0.0452380772,-1.043619812,1,1,nan,nan,nan
R,ref,0,0.001,9,16,0.11315625,0.113333337,0.113333337,0.9800000191,0.9800000191,-6.056171894,2.421627998,-17.81378937,0,1.979436047,0.4199999869,0.4199999869,-1.0581038,0.1420383453,-2.221892118,0.0008333333535,1.982190044,3.635623455,3.387686253,15.35557556,0,0.587273324,3.548023973,7.19815611,7.823975509,6.146116466,0.02620965856,-0.0854193382,0.66,0.81,nan,nan,nan,2.693915432,3.320177905,3.939466482,4.66475978,5.683017793,0.0452380772,-1.015535116,1,1,nan,nan,nan
R,ref,0,0.001,9,17,0.1077145833,0.1116666645,0.1116666645,0.9800000191,0.9800000191,-6.056171894,2.421627998,-17.81378937,0,1.987575268,0.4199999869,0.4199999869,-1.057913423,0.1216122657,-2.227324724,0.0008333333535,2.16006678,3.635623455,3.385507345,15.34970665,0,0.587273324,3.548023973,7.19815611,7.823975509,6.146116466,0.02679023022,-0.09138395265,0.66,0.81,nan,nan,nan,2.693915432,3.32154299,3.9377659,4.691981094,5.686811871,0.0452380772,-1.044845402,1,1,nan,nan,nan
R,ref,0,0.001,9,18,0.1140125,0.1141666695,0.1141666695,0.9800000191,0.9800000191,-6.056171894,2.421627998,-17.81378937,0,1.861893817,0.3899999857,0.3899999857,-1.057394385,0.1366875768,-2.246139526,0.0008333333535,1.962972139,3.635623455,3.385507345,15.30494499,0,0.587273324,3.548023973,7.19815611,7.823975509,6.146116466,0.02679023022,-0.08416729793,0.66,0.81,nan,nan,nan,2.693937267,3.315957063,3.934135212,4.720695735,5.68152716,0.04525873222,-1.003794104,1,1,nan,nan,nan
R,ref,0,0.001,9,19,0.1197791667,0.1199999973,0.1199999973,0.9800000191,0.9800000191,-6.056171894,2.421627998,-17.81378937,0,1.850547724,0.400000006,0.400000006,-1.057387233,0.1453422308,-2.222325087,0.0008333333535,1.705022531,3.635623455,3.394223213,15.55084419,0,0.587273324,3.548023973,7.19815611,7.823975509,6.146116466,0.02679023022,-0.08416729793,0.66,0.81,nan,nan,nan,2.694132984,3.324200435,3.939040031,4.691865706,5.684513109,0.04532192571,-1.005597711,1,1,nan,nan,nan
R,ref,0,0.001,9,20,0.1143,0.1150000021,0.1150000021,0.9800000191,0.9800000191,-6.056171894,2.421627998,-17.81378937,0,1.65287302,0.4199999869,0.4199999869,-1.057156801,0.1339693516,-2.280236483,0.0008333333535,1.728684868,3.635623455,3.396809816,15.77437401,0,0.587273324,3.548023973,7.19815611,7.823975509,6.146116466,0.02679023022,-0.08416729793,0.66,0.81,nan,nan,nan,2.693924923,3.330081718,3.937077681,4.740593527,5.693583572,0.04551954269,-1.016461462,1,1,nan,nan,nan
R,ref,0,0.001,9,21,0.1265583333,0.1266666651,0.1266666651,0.9900000095,0.9900000095,-6.056171894,2.421627998,-18.90662193,0,1,0.4900000095,0.4900000095,-1.056836963,0.1100049391,-2.222891331,0.0008333333535,1.165012813,3.635623455,3.401833773,15.9341259,0,0.587273324,3.548023973,7.19815611,7.823975509,6.146116466,0.02679023022,-0.08416729793,0.66,0.81,nan,nan,nan,2.693935825,3.325921081,3.928196291,4.721282644,5.695702259,0.0455298011,-1.013266206,1,1,nan,nan,nan
R,ref,0,0.001,9,22,0.1189208333,0.1191666648,0.1191666648,0.9900000095,0.9900000095,-6.056171894,2.421627998,-18.90662193,0,1,0.4900000095,0.4900000095,-1.056889653,0.06803359091,-2.22309947,0.0008333333535,1.248868992,3.635623455,3.401852369,16.30194283,0,0.587273324,3.548023973,7.19815611,7.823975509,6.146116466,0.02679023022,-0.09075958654,0.66,0.81,nan,nan,nan,2.693935825,3.342773462,3.938657826,4.73280928,5.709292227,0.0455298011,-1.003815979,1,1,nan,nan,nan
R,ref,0,0.001,9,23,0.1058895833,0.1075000018,0.1075000018,0.9900000095,0.9900000095,-6.056171894,2.421627998,-18.90662193,0,1,0.5299999714,0.5299999714,-1.056914449,0.05135183409,-2.22319746,0,1.000000759,3.635623455,3.391283274,16.4622612,0,0.587273324,3.548023973,7.19815611,7.823975509,6.146116466,0.02679023022,-0.093115706,0.66,0.81,nan,nan,nan,2.693935825,3.339422131,3.937062199,4.725594407,5.709292227,0.0455298011,-1.003794104,1,1,nan,nan,nan
R,ref,0,0.001,9,24,0.1198125,0.1199999973,0.1199999973,0.9900000095,0.9900000095,-6.056171894,2.421627998,-18.90662193,0,1,0.5899999738,0.5899999738,-1.038950443,0.02942916751,-2.223328352,0,1.000000702,3.635623455,3.40901494,16.27041626,0,0.587273324,3.548023973,7.19815611,7.823975509,6.146116466,0.02679023022,-0.093115706,0.66,0.81,nan,nan,nan,2.693935825,3.344085817,3.939452525,4.839470421,5.709292227,0.0455298011,-1.000590831,1,1,nan,nan,nan
R,ref,0,0.001,9,25,0.10849375,0.1099999994,0.1099999994,1,1,-6.056171894,2.421627998,-18.90662193,0,0,1,1,-1.056985021,0,-2.223474741,0,0,3.635623455,3.402514458,16.35603142,0,0.587273324,3.548023973,7.19815611,7.823975509,6.146116466,0.02679023022,-0.093115706,0.66,0.81,nan,nan,nan,2.693935825,3.343593974,3.938615638,4.830237475,5.709292227,0.0455298011,-1.003794104,1,1,nan,nan,nan
R,ref,0,0.001,9,26,0.1140645833,0.1141666695,0.1141666695,1,1,-6.056171894,2.421627998,-18.90662193,0,0,1,1,-1.056985021,0,-2.223474741,0,0,3.635623455,3.402514458,16.35603142,0,0.587273324,3.548023973,7.19815611,7.823975509,6.146116466,0.02679023022,-0.093115706,0.66,0.81,nan,nan,nan,2.693935825,3.343593974,3.938615638,4.830237475,5.709292227,0.0455298011,-1.003794104,1,1,nan,nan,nan
R,ref,0,0.001,9,27,0.1079625,0.1083333343,0.1083333343,1,1,-6.056171894,2.421627998,-18.90662193,0,0,1,1,-1.056985021,0,-2.223474741,0,0,3.635623455,3.402514458,16.35603142,0,0.587273324,3.548023973,7.19815611,7.823975509,6.146116466,0.02679023022,-0.093115706,0.66,0.81,nan,nan,nan,2.693935825,3.343593974,3.938615638,4.830237475,5.709292227,0.0455298011,-1.003794104,1,1,nan,nan,nan
