arm,k,at_risk,events,censored,survival
LRm_a0p1_1216,500,10,0,10,1.0
LRv_d2_1216,62,10,1,0,0.9
LRv_d2_1216,91,9,1,0,0.7999999999999999
LRv_d2_1216,110,8,1,0,0.7
LRv_d2_1216,116,7,1,0,0.6
LRv_d2_1216,118,6,1,0,0.5
LRv_d2_1216,128,5,1,0,0.4
LRv_d2_1216,133,4,1,0,0.30000000000000004
LRv_d2_1216,169,3,1,0,0.20000000000000004
LRv_d2_1216,210,2,1,0,0.10000000000000002
LRv_d2_1216,265,1,1,0,0.0
RB_d1_1216,26,10,1,0,0.9
RB_d1_1216,46,9,1,0,0.7999999999999999
RB_d1_1216,62,8,1,0,0.7
RB_d1_1216,64,7,2,0,0.5
RB_d1_1216,72,5,1,0,0.4
RB_d1_1216,75,4,1,0,0.30000000000000004
RB_d1_1216,97,3,1,0,0.20000000000000004
RB_d1_1216,124,2,1,0,0.10000000000000002
RB_d1_1216,133,1,1,0,0.0
CB_a1_1216,500,10,0,10,1.0
LRv_d1_1216,500,10,0,10,1.0
RB_d0p5_1216,25,10,1,0,0.9
RB_d0p5_1216,36,9,1,0,0.7999999999999999
RB_d0p5_1216,42,8,1,0,0.7
RB_d0p5_1216,44,7,1,0,0.6
RB_d0p5_1216,46,6,1,0,0.5
RB_d0p5_1216,54,5,1,0,0.4
RB_d0p5_1216,66,4,1,0,0.30000000000000004
RB_d0p5_1216,84,3,1,0,0.20000000000000004
RB_d0p5_1216,91,2,1,0,0.10000000000000002
RB_d0p5_1216,94,1,1,0,0.0
RB_d2_1216,91,10,1,0,0.9
RB_d2_1216,111,9,1,0,0.7999999999999999
RB_d2_1216,125,8,1,0,0.7
RB_d2_1216,126,7,1,0,0.6
RB_d2_1216,161,6,1,0,0.5
RB_d2_1216,314,5,1,0,0.4
RB_d2_1216,315,4,1,0,0.30000000000000004
RB_d2_1216,394,3,1,0,0.20000000000000004
RB_d2_1216,500,2,1,1,0.10000000000000002
RB_d4_1216,32,10,1,0,0.9
RB_d4_1216,500,9,0,9,0.9
LRq_d1_1216,25,10,1,0,0.9
LRq_d1_1216,26,9,1,0,0.7999999999999999
LRq_d1_1216,46,8,1,0,0.7
LRq_d1_1216,71,7,1,0,0.6
LRq_d1_1216,87,6,1,0,0.5
LRq_d1_1216,128,5,1,0,0.4
LRq_d1_1216,129,4,1,0,0.30000000000000004
LRq_d1_1216,138,3,1,0,0.20000000000000004
LRq_d1_1216,175,2,1,0,0.10000000000000002
LRq_d1_1216,500,1,0,1,0.10000000000000002
CB_a2_1216,500,10,0,10,1.0
