seed,b_index,step,n_alive,n_freeze_win
0,1,10000,65,1
0,2,20000,61,6
0,3,30000,56,1
0,4,40000,55,6
0,5,50000,53,2
0,6,60000,46,3
0,7,70000,48,8
0,8,80000,43,5
0,9,90000,43,2
0,10,100000,37,3
0,11,110000,33,6
0,12,120000,33,9
0,13,130000,23,3
0,14,140000,19,3
0,15,150000,20,2
0,16,160000,17,3
0,17,170000,18,3
0,18,180000,24,4
0,19,190000,16,1
0,20,200000,24,6
0,21,210000,20,6
0,22,220000,18,1
0,23,230000,15,3
0,24,240000,15,3
0,25,250000,18,3
0,26,260000,17,6
0,27,270000,11,3
0,28,280000,6,0
0,29,290000,5,1
0,30,300000,4,1
0,31,310000,2,0
0,32,320000,4,0
0,33,330000,7,2
0,34,340000,5,2
0,35,350000,3,0
0,36,360000,5,2
0,37,370000,3,0
0,38,380000,7,1
0,39,390000,5,0
0,40,400000,18,4
0,41,410000,17,4
0,42,420000,13,3
0,43,430000,8,2
0,44,440000,8,0
0,45,450000,12,0
0,46,460000,21,5
0,47,470000,17,1
0,48,480000,13,0
0,49,490000,24,7
0,50,500000,15,8
0,51,510000,8,1
0,52,520000,7,2
0,53,530000,4,0
0,54,540000,5,1
0,55,550000,3,0
0,56,560000,5,0
0,57,570000,5,0
0,58,580000,6,1
0,59,590000,5,0
0,60,600000,3,0
0,61,610000,2,0
0,62,620000,5,2
0,63,630000,3,0
0,64,640000,2,0
0,65,650000,2,0
0,66,660000,2,0
0,67,670000,2,0
0,68,680000,2,0
0,69,690000,3,0
0,70,700000,4,0
0,71,710000,4,0
0,72,720000,2,0
0,73,730000,2,0
0,74,740000,6,1
0,75,750000,7,1
0,76,760000,4,0
0,77,770000,5,2
0,78,780000,9,4
0,79,790000,10,2
0,80,800000,17,8
0,81,810000,11,2
0,82,820000,12,5
0,83,830000,10,3
0,84,840000,6,1
0,85,850000,5,2
0,86,860000,3,0
0,87,870000,5,2
0,88,880000,4,0
0,89,890000,5,2
0,90,900000,3,0
0,91,910000,3,0
0,92,920000,3,0
0,93,930000,2,1
0,94,940000,2,0
0,95,950000,6,2
0,96,960000,6,0
0,97,970000,6,0
0,98,980000,6,0
0,99,990000,6,0
1,1,10000,81,2
1,2,20000,75,5
1,3,30000,71,2
1,4,40000,69,4
1,5,50000,72,1
1,6,60000,67,5
1,7,70000,69,6
1,8,80000,59,4
1,9,90000,60,5
1,10,100000,61,12
1,11,110000,52,7
1,12,120000,49,7
1,13,130000,49,7
1,14,140000,40,10
1,15,150000,30,4
1,16,160000,22,5
1,17,170000,22,5
1,18,180000,23,3
1,19,190000,21,6
1,20,200000,22,5
1,21,210000,19,3
1,22,220000,17,7
1,23,230000,11,1
1,24,240000,9,4
1,25,250000,6,1
1,26,260000,6,1
1,27,270000,4,1
1,28,280000,4,0
1,29,290000,7,1
1,30,300000,6,1
1,31,310000,6,0
1,32,320000,5,1
1,33,330000,1,1
1,34,340000,9,4
1,35,350000,8,4
1,36,360000,5,2
1,37,370000,2,0
1,38,380000,6,1
1,39,390000,8,2
1,40,400000,15,9
1,41,410000,6,2
1,42,420000,7,3
1,43,430000,4,0
1,44,440000,3,0
1,45,450000,2,0
1,46,460000,2,0
1,47,470000,2,0
1,48,480000,2,1
1,49,490000,3,0
1,50,500000,2,0
1,51,510000,3,0
1,52,520000,6,2
1,53,530000,3,1
1,54,540000,3,0
1,55,550000,2,0
1,56,560000,2,0
1,57,570000,2,0
1,58,580000,2,0
1,59,590000,2,0
1,60,600000,2,0
1,61,610000,2,0
1,62,620000,4,1
1,63,630000,4,1
1,64,640000,5,1
1,65,650000,2,0
1,66,660000,4,0
1,67,670000,4,1
1,68,680000,3,1
1,69,690000,3,0
1,70,700000,2,1
1,71,710000,5,1
1,72,720000,6,3
1,73,730000,2,0
1,74,740000,10,2
1,75,750000,5,0
1,76,760000,4,1
1,77,770000,3,0
1,78,780000,3,0
1,79,790000,5,3
1,80,800000,2,0
1,81,810000,2,0
1,82,820000,2,0
1,83,830000,2,0
1,84,840000,2,0
1,85,850000,4,0
1,86,860000,7,1
1,87,870000,7,0
1,88,880000,11,1
1,89,890000,11,1
1,90,900000,11,2
1,91,910000,16,2
1,92,920000,15,2
1,93,930000,17,4
1,94,940000,11,1
1,95,950000,11,0
1,96,960000,15,3
1,97,970000,8,1
1,98,980000,9,1
1,99,990000,5,1
2,1,10000,80,3
2,2,20000,74,2
2,3,30000,78,7
2,4,40000,64,6
2,5,50000,56,4
2,6,60000,52,4
2,7,70000,48,5
2,8,80000,45,4
2,9,90000,40,6
2,10,100000,30,6
2,11,110000,31,2
2,12,120000,31,8
2,13,130000,22,1
2,14,140000,21,0
2,15,150000,25,1
2,16,160000,34,4
2,17,170000,40,2
2,18,180000,33,1
2,19,190000,43,5
2,20,200000,34,2
2,21,210000,38,1
2,22,220000,50,6
2,23,230000,37,4
2,24,240000,35,2
2,25,250000,36,2
2,26,260000,43,8
2,27,270000,29,8
2,28,280000,18,3
2,29,290000,13,0
2,30,300000,17,2
2,31,310000,18,2
2,32,320000,22,4
2,33,330000,12,2
2,34,340000,11,4
2,35,350000,3,0
2,36,360000,5,1
2,37,370000,6,2
2,38,380000,6,0
2,39,390000,16,6
2,40,400000,17,2
2,41,410000,12,0
2,42,420000,21,7
2,43,430000,12,3
2,44,440000,11,2
2,45,450000,9,5
2,46,460000,3,2
2,47,470000,0,0
2,48,480000,2,1
2,49,490000,4,1
2,50,500000,3,2
2,51,510000,6,3
2,52,520000,1,0
2,53,530000,4,1
2,54,540000,14,4
2,55,550000,9,1
2,56,560000,18,1
2,57,570000,20,3
2,58,580000,16,0
2,59,590000,27,7
2,60,600000,21,1
2,61,610000,22,0
2,62,620000,25,1
2,63,630000,39,7
2,64,640000,26,5
2,65,650000,27,6
2,66,660000,18,3
2,67,670000,18,4
2,68,680000,11,2
2,69,690000,11,1
2,70,700000,7,0
2,71,710000,9,1
2,72,720000,9,0
2,73,730000,12,2
2,74,740000,10,1
2,75,750000,15,2
2,76,760000,13,0
2,77,770000,8,1
2,78,780000,20,5
2,79,790000,17,6
2,80,800000,10,1
2,81,810000,7,1
2,82,820000,6,1
2,83,830000,5,0
2,84,840000,5,0
2,85,850000,6,0
2,86,860000,6,0
2,87,870000,6,1
2,88,880000,7,2
2,89,890000,4,2
2,90,900000,1,0
2,91,910000,1,0
2,92,920000,2,0
2,93,930000,2,1
2,94,940000,1,0
2,95,950000,1,0
2,96,960000,3,0
2,97,970000,4,0
2,98,980000,5,0
2,99,990000,4,0
3,1,10000,73,5
3,2,20000,63,2
3,3,30000,69,8
3,4,40000,63,0
3,5,50000,62,4
3,6,60000,59,9
3,7,70000,53,4
3,8,80000,50,6
3,9,90000,42,6
3,10,100000,43,5
3,11,110000,35,3
3,12,120000,37,4
3,13,130000,37,4
3,14,140000,34,6
3,15,150000,31,7
3,16,160000,22,4
3,17,170000,20,7
3,18,180000,11,4
3,19,190000,4,2
3,20,200000,8,6
3,21,210000,1,1
3,22,220000,7,2
3,23,230000,9,2
3,24,240000,4,0
3,25,250000,4,1
3,26,260000,8,2
3,27,270000,12,3
3,28,280000,10,1
3,29,290000,7,0
3,30,300000,8,3
3,31,310000,8,3
3,32,320000,8,2
3,33,330000,6,0
3,34,340000,10,1
3,35,350000,8,0
3,36,360000,14,1
3,37,370000,17,2
3,38,380000,12,2
3,39,390000,14,2
3,40,400000,23,7
3,41,410000,14,3
3,42,420000,14,4
3,43,430000,7,1
3,44,440000,8,2
3,45,450000,5,1
3,46,460000,4,1
3,47,470000,2,0
3,48,480000,3,0
3,49,490000,3,0
3,50,500000,4,1
3,51,510000,5,1
3,52,520000,2,1
3,53,530000,1,0
3,54,540000,1,0
3,55,550000,1,0
3,56,560000,6,4
3,57,570000,8,4
3,58,580000,9,3
3,59,590000,5,0
3,60,600000,7,0
3,61,610000,14,6
3,62,620000,9,1
3,63,630000,5,0
3,64,640000,10,4
3,65,650000,3,2
3,66,660000,1,0
3,67,670000,2,0
3,68,680000,8,3
3,69,690000,10,3
3,70,700000,7,1
3,71,710000,7,1
3,72,720000,5,1
3,73,730000,7,0
3,74,740000,6,0
3,75,750000,5,0
3,76,760000,4,0
3,77,770000,4,0
3,78,780000,3,0
3,79,790000,5,3
3,80,800000,2,0
3,81,810000,2,1
3,82,820000,1,0
3,83,830000,2,1
3,84,840000,1,0
3,85,850000,1,0
3,86,860000,1,0
3,87,870000,1,0
3,88,880000,0,0
3,89,890000,1,0
3,90,900000,0,0
3,91,910000,0,0
3,92,920000,1,0
3,93,930000,1,0
3,94,940000,3,1
3,95,950000,1,0
3,96,960000,1,0
3,97,970000,1,0
3,98,980000,1,0
3,99,990000,2,0
4,1,10000,71,7
4,2,20000,60,5
4,3,30000,51,6
4,4,40000,46,9
4,5,50000,41,4
4,6,60000,37,7
4,7,70000,35,8
4,8,80000,33,4
4,9,90000,37,5
4,10,100000,40,5
4,11,110000,35,6
4,12,120000,35,5
4,13,130000,30,6
4,14,140000,28,4
4,15,150000,24,7
4,16,160000,18,6
4,17,170000,6,2
4,18,180000,9,4
4,19,190000,3,0
4,20,200000,6,1
4,21,210000,5,0
4,22,220000,9,1
4,23,230000,13,5
4,24,240000,13,5
4,25,250000,8,2
4,26,260000,9,0
4,27,270000,17,5
4,28,280000,7,0
4,29,290000,12,4
4,30,300000,6,0
4,31,310000,2,0
4,32,320000,8,3
4,33,330000,4,0
4,34,340000,8,2
4,35,350000,11,5
4,36,360000,5,0
4,37,370000,11,4
4,38,380000,11,4
4,39,390000,5,1
4,40,400000,8,0
4,41,410000,5,1
4,42,420000,4,0
4,43,430000,4,0
4,44,440000,4,0
4,45,450000,4,1
4,46,460000,3,0
4,47,470000,3,0
4,48,480000,4,0
4,49,490000,4,0
4,50,500000,3,0
4,51,510000,5,1
4,52,520000,4,0
4,53,530000,4,1
4,54,540000,4,0
4,55,550000,7,0
4,56,560000,9,1
4,57,570000,14,5
4,58,580000,8,3
4,59,590000,4,1
4,60,600000,3,0
4,61,610000,5,0
4,62,620000,4,0
4,63,630000,5,0
4,64,640000,9,2
4,65,650000,8,1
4,66,660000,7,0
4,67,670000,9,1
4,68,680000,7,1
4,69,690000,9,3
4,70,700000,8,1
4,71,710000,6,0
4,72,720000,7,0
4,73,730000,6,1
4,74,740000,6,0
4,75,750000,4,0
4,76,760000,4,2
4,77,770000,1,0
4,78,780000,1,0
4,79,790000,3,0
4,80,800000,3,1
4,81,810000,1,0
4,82,820000,2,0
4,83,830000,2,0
4,84,840000,2,0
4,85,850000,2,0
4,86,860000,4,0
4,87,870000,1,0
4,88,880000,3,1
4,89,890000,5,1
4,90,900000,6,1
4,91,910000,5,0
4,92,920000,5,0
4,93,930000,5,1
4,94,940000,2,0
4,95,950000,4,0
4,96,960000,4,1
4,97,970000,3,0
4,98,980000,2,0
4,99,990000,3,1
5,1,10000,81,5
5,2,20000,81,6
5,3,30000,71,2
5,4,40000,71,3
5,5,50000,73,3
5,6,60000,62,2
5,7,70000,60,2
5,8,80000,69,4
5,9,90000,66,4
5,10,100000,64,7
5,11,110000,55,3
5,12,120000,52,5
5,13,130000,59,7
5,14,140000,52,7
5,15,150000,49,6
5,16,160000,48,5
5,17,170000,50,3
5,18,180000,43,1
5,19,190000,53,8
5,20,200000,45,9
5,21,210000,39,7
5,22,220000,30,4
5,23,230000,32,4
5,24,240000,24,3
5,25,250000,26,6
5,26,260000,21,4
5,27,270000,21,7
5,28,280000,16,1
5,29,290000,23,9
5,30,300000,16,1
5,31,310000,17,0
5,32,320000,20,5
5,33,330000,15,1
5,34,340000,12,1
5,35,350000,12,0
5,36,360000,13,3
5,37,370000,16,1
5,38,380000,18,3
5,39,390000,17,0
5,40,400000,17,2
5,41,410000,20,0
5,42,420000,15,2
5,43,430000,18,1
5,44,440000,20,5
5,45,450000,21,7
5,46,460000,18,6
5,47,470000,13,4
5,48,480000,9,3
5,49,490000,6,0
5,50,500000,8,0
5,51,510000,8,0
