coord,binset,bin,lo,hi,n,depth_med,depth_mid,inc_med,inc_mean,inc_p_up,inc_frac_zero,ulp_med,med_over_ulp,lnmob_med,resid_med,inc_med_seed_n,inc_med_seed_med,inc_med_seed_min,inc_med_seed_max,inc_med_seed_mean,inc_med_seed_sd,inc_med_seed_se,inc_med_hi2se,inc_med_lo2se,inc_iqr,inc_frac_gt_1e3,key,arm,window,family,dial,pos
zmax,abs,0-1,0.0,1.0,202138,0.47816041111946106,0.5,0.01230931282043457,0.04504214852532084,0.6129921142981527,4.947115337046968e-06,4.76837158203125e-07,25814.5,-3.53882473779203,-3.102317067213393,10,0.012219905853271484,0.006957054138183594,0.015500307083129883,0.01247782465070486,0.0025938455453053035,0.0008202459821846228,0.014118316615074105,0.010837332686335615,0.11521673202514648,0.9761301684987483,E_1216@15M,E_1216,15M,elu,1.0,1
zmax,abs,1-3,1.0,3.0,260515,1.7978371381759644,2.0,0.0019783973693847656,0.009105850756425761,0.531347523175249,7.67710112661459e-06,9.5367431640625e-07,2074.5,-4.826088792478811,-3.0768710450100283,10,0.001955747604370117,0.0015010833740234375,0.002707958221435547,0.0019812822341918946,0.0003344299608295152,0.0001057560394022162,0.002192794312996327,0.0017697701553874622,0.07738041877746582,0.9717866533596914,E_1216@15M,E_1216,15M,elu,1.0,1
zmax,abs,3-6,3.0,6.0,104582,3.8323397636413574,4.5,0.0006694793701171875,0.0034268572979240025,0.5532692050257214,0.00011474249870914689,9.5367431640625e-07,702.0,-6.835313410568014,-3.0306915836355177,10,0.0007078647613525391,0.0005054473876953125,0.0008511543273925781,0.0006798744201660156,0.00010092935536417324,3.191666457233206e-05,0.0007437077493106797,0.0006160410910213515,0.015068650245666504,0.8675967183645369,E_1216@15M,E_1216,15M,elu,1.0,1
zmax,abs,6-10,6.0,10.0,9779,6.778621673583984,8.0,2.09808349609375e-05,0.00010453875731173584,0.5316494529092954,0.0031700582881685245,9.5367431640625e-07,22.0,-9.805561048871951,-3.0244292206518146,10,2.6941299438476562e-05,9.059906005859375e-06,5.7220458984375e-05,2.6273727416992188e-05,1.6050291209289952e-05,5.075547733033454e-06,3.64248228830591e-05,1.612263195092528e-05,0.0009551048278808594,0.3298905818590858,E_1216@15M,E_1216,15M,elu,1.0,1
zmax,abs,>10,10.0,inf,473,10.967918395996094,10.967918395996094,0.0,-1.8206509676846592e-06,0.41226215644820297,0.2346723044397463,1.9073486328125e-06,0.0,-14.079043201809222,-3.023804818095046,1,0.0,0.0,0.0,0.0,nan,nan,nan,nan,1.52587890625e-05,0.0,E_1216@15M,E_1216,15M,elu,1.0,1
zmax,abs,0-1,0.0,1.0,186188,0.48464973270893097,0.5,0.005863666534423828,0.029881090828454224,0.6183266375921112,1.6112746256471952e-05,4.76837158203125e-07,12297.0,-3.545639075879591,-3.1056794928555194,10,0.0056400299072265625,0.003844240680336952,0.007483959197998047,0.005941317416727543,0.001175688802560587,0.00037178544356474566,0.006684888303857034,0.005197746529598052,0.05612313747406006,0.9516241648226523,E_1216@15M,E_1216,15M,elu,1.0,2
zmax,abs,1-3,1.0,3.0,258775,1.8176270723342896,2.0,0.0003342628479003906,0.004431314253251963,0.5125572408462951,2.705052651917689e-05,9.5367431640625e-07,350.5,-4.843339042018119,-3.0766573146097125,10,0.0003056526184082031,-7.62939453125e-06,0.0007228851318359375,0.0003411293029785156,0.00019938195643731918,6.305011066823994e-05,0.0004672295243149955,0.00021502908164203573,0.0397343635559082,0.9367945126074776,E_1216@15M,E_1216,15M,elu,1.0,2
zmax,abs,3-6,3.0,6.0,104734,3.8285428285598755,4.5,0.0001850128173828125,0.0006250830188544121,0.5321099165504993,0.0002005079534821548,9.5367431640625e-07,194.0,-6.832922466682073,-3.030615558356355,10,0.00017571449279785156,0.00011014938354492188,0.00025081634521484375,0.00018558502197265624,4.521149452006613e-05,1.4297129910363022e-05,0.0002141792817933823,0.0001569907621519302,0.008573770523071289,0.7824106784807225,E_1216@15M,E_1216,15M,elu,1.0,2
zmax,abs,6-10,6.0,10.0,9775,6.7782697677612305,8.0,7.62939453125e-06,4.639549938309223e-05,0.5225575447570332,0.005831202046035806,9.5367431640625e-07,8.0,-9.806398455160659,-3.024363663041896,10,9.298324584960938e-06,3.337860107421875e-06,3.0517578125e-05,1.2159347534179688e-05,8.997647488574364e-06,2.8453059647188834e-06,1.7849959463617454e-05,6.468735604741921e-06,0.000583648681640625,0.24122762148337595,E_1216@15M,E_1216,15M,elu,1.0,2
zmax,abs,>10,10.0,inf,473,10.967881202697754,10.967881202697754,0.0,-1.8287158667663187e-06,0.35306553911205074,0.30021141649048627,1.9073486328125e-06,0.0,-14.079042461981155,-3.0238046354440513,1,0.0,0.0,0.0,0.0,nan,nan,nan,nan,7.62939453125e-06,0.0,E_1216@15M,E_1216,15M,elu,1.0,2
zmax,abs,0-1,0.0,1.0,179885,0.4830215275287628,0.5,0.0026678070425987244,0.018954926148502426,0.6079884370570087,2.2236428829529976e-05,4.76837158203125e-07,5594.796875,-3.546085884851641,-3.107235110418355,10,0.002504587173461914,0.0017914772033691406,0.003803253173828125,0.0027156949043273928,0.0006188107881652382,0.000195685153128612,0.0031070652105846166,0.002324324598070169,0.03143310546875,0.9114100675431526,E_1216@15M,E_1216,15M,elu,1.0,3
zmax,abs,1-3,1.0,3.0,255996,1.831168293952942,2.0,6.771087646484375e-05,0.002970356045109188,0.505828216065876,5.859466554164909e-05,9.5367431640625e-07,71.0,-4.855257304887596,-3.0766902292270473,10,8.249282836914062e-05,-5.054473876953125e-05,0.00020599365234375,7.405281066894532e-05,7.266863749102167e-05,2.2979840893273217e-05,0.00012001249245549175,2.8093128882398884e-05,0.02244091033935547,0.8870997984343505,E_1216@15M,E_1216,15M,elu,1.0,3
zmax,abs,3-6,3.0,6.0,105070,3.8256391286849976,4.5,5.626678466796875e-05,-0.00041515052721345414,0.519139621204911,0.0004568382982773389,9.5367431640625e-07,59.0,-6.829174667289072,-3.030514042761015,10,5.626678466796875e-05,3.4332275390625e-05,8.487701416015625e-05,5.621910095214844e-05,1.6818905720020106e-05,5.318604982689774e-06,6.685631091752798e-05,4.558189098676889e-05,0.005270719528198242,0.6930332159512705,E_1216@15M,E_1216,15M,elu,1.0,3
zmax,abs,6-10,6.0,10.0,9770,6.779405117034912,8.0,3.814697265625e-06,2.9573860285592055e-05,0.5179119754350051,0.011975435005117708,9.5367431640625e-07,4.0,-9.807406774535993,-3.024364933037699,10,4.291534423828125e-06,-1.9073486328125e-06,1.33514404296875e-05,5.53131103515625e-06,4.602295194207218e-06,1.4553735278141779e-06,8.442058090784605e-06,2.620563979527894e-06,0.0003833770751953125,0.18219037871033777,E_1216@15M,E_1216,15M,elu,1.0,3
zmax,abs,>10,10.0,inf,473,10.967862129211426,10.967862129211426,0.0,-1.4940225548774445e-06,0.33403805496828753,0.38477801268498946,1.9073486328125e-06,0.0,-14.079041796136362,-3.023804565873565,1,0.0,0.0,0.0,0.0,nan,nan,nan,nan,5.7220458984375e-06,0.0,E_1216@15M,E_1216,15M,elu,1.0,3
zmax,abs,0-1,0.0,1.0,176778,0.4823572188615799,0.5,0.001191854476928711,0.012349401588482824,0.5938861170507642,6.788174999151478e-05,4.76837158203125e-07,2499.5,-3.5455543731403676,-3.108182961911389,10,0.0011540651321411133,0.0008249282836914062,0.0017423629760742188,0.0012375449761748314,0.0003129088863982852,9.895047811254625e-05,0.001435445932399924,0.0010396440199497389,0.018779277801513672,0.8565488918304314,E_1216@15M,E_1216,15M,elu,1.0,4
zmax,abs,1-3,1.0,3.0,253659,1.8387391567230225,2.0,1.621246337890625e-05,0.002107499188669524,0.5030809078329569,0.00018923042352134164,9.5367431640625e-07,17.0,-4.862464722520916,-3.076749339630931,10,1.7404556274414062e-05,-7.82012939453125e-05,7.343292236328125e-05,1.4901161193847656e-05,3.9274269904888455e-05,1.2419614633965205e-05,3.9740390461778066e-05,-9.938068074082753e-06,0.013563156127929688,0.8251786847697106,E_1216@15M,E_1216,15M,elu,1.0,4
zmax,abs,3-6,3.0,6.0,105441,3.821873188018799,4.5,1.239776611328125e-05,-0.0007672804480812516,0.5088153564552689,0.0009294297284737436,9.5367431640625e-07,13.0,-6.825997308515088,-3.030452241563623,10,1.2516975402832031e-05,0.0,3.0517578125e-05,1.3470649719238281e-05,8.742917621092762e-06,2.764753307787411e-06,1.9000156334813104e-05,7.941143103663458e-06,0.003414154052734375,0.6053148206105784,E_1216@15M,E_1216,15M,elu,1.0,4
zmax,abs,6-10,6.0,10.0,9773,6.779452800750732,8.0,9.5367431640625e-07,1.897717234569453e-05,0.5044510385756676,0.024250486032947917,9.5367431640625e-07,1.0,-9.807375016480295,-3.0243244191029355,10,9.5367431640625e-07,0.0,1.3828277587890625e-05,3.719329833984375e-06,4.846150461873246e-06,1.5324873343396439e-06,6.784304502663662e-06,6.543551653050872e-07,0.0002613067626953125,0.13885193901565537,E_1216@15M,E_1216,15M,elu,1.0,4
zmax,abs,>10,10.0,inf,473,10.967848777770996,10.967848777770996,0.0,-1.925494655746234e-06,0.2832980972515856,0.4418604651162791,1.9073486328125e-06,0.0,-14.079041796136362,-3.0238039205333465,1,0.0,0.0,0.0,0.0,nan,nan,nan,nan,3.814697265625e-06,0.0,E_1216@15M,E_1216,15M,elu,1.0,4
