key,arm,window,seed,n,rho_zbar,rho_zmax
E_1216@15M,E_1216,15M,0,465522,0.06969947015493855,0.3384446410867701
E_1216@15M,E_1216,15M,1,505160,0.008403988551518844,0.33565922491292743
E_1216@15M,E_1216,15M,2,509433,0.14423066957731884,0.3933123245753526
E_1216@15M,E_1216,15M,3,517477,0.11573137042234635,0.38217649063961046
E_1216@15M,E_1216,15M,4,474468,0.11840735379954435,0.42652806661069625
E_1216@15M,E_1216,15M,5,507889,0.07372510522866041,0.34376060992421226
E_1216@15M,E_1216,15M,6,499477,0.1280821248035022,0.3909105762274756
E_1216@15M,E_1216,15M,7,452594,0.015150157922379314,0.34944110222645275
E_1216@15M,E_1216,15M,8,507310,0.13259465466465944,0.367274506101076
E_1216@15M,E_1216,15M,9,498303,0.00801792301140344,0.36472673865365307
E_1216@5M,E_1216,5M,0,151286,0.06306317867792692,0.34800631040545205
E_1216@5M,E_1216,5M,1,169614,0.03977443704805374,0.3583361192058025
E_1216@5M,E_1216,5M,2,178265,0.12525079578552276,0.3304257870776746
E_1216@5M,E_1216,5M,3,169157,0.0913724780445164,0.3816530387072117
E_1216@5M,E_1216,5M,4,169368,0.15824208414369292,0.4211570958753659
E_1216@5M,E_1216,5M,5,164686,0.06418727280747699,0.3320903708508963
E_1216@5M,E_1216,5M,6,176517,0.10609984361678806,0.3723075557658972
E_1216@5M,E_1216,5M,7,149748,0.0020593656871649595,0.4139683312885041
E_1216@5M,E_1216,5M,8,167431,0.21725410098733552,0.4124179661885478
E_1216@5M,E_1216,5M,9,170872,0.0025817517814066262,0.3581104247953995
E_a0p1_1216@5M,E_a0p1_1216,5M,0,376835,0.25372497792259546,0.1699244000398394
E_a0p1_1216@5M,E_a0p1_1216,5M,1,373105,0.17373869150226856,0.16938545935597882
E_a0p1_1216@5M,E_a0p1_1216,5M,2,375809,0.28736292408447767,0.20819759963628384
E_a0p1_1216@5M,E_a0p1_1216,5M,3,372170,0.18547971516640946,0.19564389611513308
E_a0p1_1216@5M,E_a0p1_1216,5M,4,370005,0.19626673223877483,0.17746958495504733
E_a0p1_1216@5M,E_a0p1_1216,5M,5,371246,0.32430787251577897,0.24621301842645318
E_a0p1_1216@5M,E_a0p1_1216,5M,6,377918,0.3492179704140504,0.27706010849785856
