step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,sign_match_mean,sign_clone_frac,eval_loss
0,B_w5_K100_c0.0_lr0.01_s0,0,0,0,4.78125,4.64659,0.447619,0,2.32641
0,B_w5_K100_c0.0_lr0.01_s1,0,0,0,4.71429,4.08629,0.466667,0,2.16194
0,B_w5_K100_c0.0_lr0.01_s2,0,0,0,4.81087,4.33608,0.466667,0,3.15486
0,B_w5_K100_c0.0_lr0.01_s3,0,0,0,4.76159,4.58878,0.504762,0,1.98016
0,B_w5_K100_c0.0_lr0.01_s4,0,0,0,4.67485,4.3229,0.561905,0,2.37258
0,B_w5_K100_c2.0_lr0.01_s0,0,0,0,4.59665,4.09404,0.504762,0,2.40945
0,B_w5_K100_c2.0_lr0.01_s1,0,0,0,3.84958,2.7785,0.466667,0,7.17925
0,B_w5_K100_c2.0_lr0.01_s2,0,0,0,4.53803,3.7742,0.485714,0,1.67474
0,B_w5_K100_c2.0_lr0.01_s3,0,0,0,4.21867,3.25533,0.485714,0,1.18253
0,B_w5_K100_c2.0_lr0.01_s4,0,0,0,4.59867,4.42204,0.52381,0,2.97363
0,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.69815,4.19551,0.533333,0,9.23329
0,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.72752,4.37311,0.485714,0,2.18017
0,B_w5_K10000_c0.0_lr0.01_s2,0,0,0,4.82649,4.57924,0.466667,0,1.55631
0,B_w5_K10000_c0.0_lr0.01_s3,0,0,0,4.74249,4.64595,0.542857,0,2.06567
0,B_w5_K10000_c0.0_lr0.01_s4,0,0,0,4.77017,4.28379,0.457143,0,1.35714
0,B_w5_K10000_c2.0_lr0.01_s0,0,0,0,4.14895,3.71179,0.542857,0,2.1133
0,B_w5_K10000_c2.0_lr0.01_s1,0,0,0,4.59266,3.74097,0.476191,0,1.44518
0,B_w5_K10000_c2.0_lr0.01_s2,0,0,0,4.41234,3.66598,0.533333,0,1.50511
0,B_w5_K10000_c2.0_lr0.01_s3,0,0,0,4.56033,3.58108,0.495238,0,0.73071
0,B_w5_K10000_c2.0_lr0.01_s4,0,0,0,4.6581,4.31374,0.52381,0,1.21537
1000,B_w5_K100_c0.0_lr0.01_s0,0,0,0,4.81434,4.58125,0.476191,0,0.363366
1000,B_w5_K100_c0.0_lr0.01_s1,0,0,0,4.69359,3.86565,0.485714,0,0.242134
1000,B_w5_K100_c0.0_lr0.01_s2,0,0,0,4.75677,4.15727,0.438095,0,0.431256
1000,B_w5_K100_c0.0_lr0.01_s3,0,0,0,4.7632,4.527,0.52381,0,0.53
1000,B_w5_K100_c0.0_lr0.01_s4,0,0,0,4.71699,4.45795,0.533333,0,0.341483
1000,B_w5_K100_c2.0_lr0.01_s0,0,0,0,4.41067,3.49548,0.504762,0,1.4909
1000,B_w5_K100_c2.0_lr0.01_s1,0,0,0,3.99568,2.95071,0.485714,0,0.416328
1000,B_w5_K100_c2.0_lr0.01_s2,0,0,0,4.37924,3.37068,0.438095,0,0.925134
1000,B_w5_K100_c2.0_lr0.01_s3,0,0,0,4.54456,3.56551,0.504762,0,1.12862
1000,B_w5_K100_c2.0_lr0.01_s4,0,0,0,4.68255,4.16525,0.542857,0,0.671043
1000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.68619,3.80492,0.47619,0,0.243466
1000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.7583,4.58482,0.514286,0,0.207681
1000,B_w5_K10000_c0.0_lr0.01_s2,0,0,0,4.77837,4.1517,0.466667,0,0.126582
1000,B_w5_K10000_c0.0_lr0.01_s3,0,0,0,4.73861,4.57782,0.47619,0,0.243342
1000,B_w5_K10000_c0.0_lr0.01_s4,0,0,0,4.69345,4.23474,0.533333,0,0.270169
1000,B_w5_K10000_c2.0_lr0.01_s0,0,0,0,4.09623,3.47078,0.504762,0,0.0986072
1000,B_w5_K10000_c2.0_lr0.01_s1,0,0,0,4.36823,3.34386,0.457143,0,0.145613
1000,B_w5_K10000_c2.0_lr0.01_s2,0,0,0,4.46776,4.14472,0.514286,0,0.0511281
1000,B_w5_K10000_c2.0_lr0.01_s3,0,0,0,4.20468,2.60357,0.466667,0,0.0792643
1000,B_w5_K10000_c2.0_lr0.01_s4,0,0,0,4.58413,3.74239,0.457143,0,0.175039
2000,B_w5_K100_c0.0_lr0.01_s0,0,0,0,4.79747,4.43825,0.457143,0,0.480085
2000,B_w5_K100_c0.0_lr0.01_s1,0,0,0,4.70912,3.99182,0.504762,0,0.228711
2000,B_w5_K100_c0.0_lr0.01_s2,0,0,0,4.74273,4.15222,0.438095,0,0.313736
2000,B_w5_K100_c0.0_lr0.01_s3,0,0,0,4.7939,4.52802,0.542857,0,0.30721
2000,B_w5_K100_c0.0_lr0.01_s4,0,0,0,4.74686,4.50948,0.514286,0,0.746497
2000,B_w5_K100_c2.0_lr0.01_s0,0,0,0,4.50651,3.80404,0.447619,0,0.489587
2000,B_w5_K100_c2.0_lr0.01_s1,0,0,0,4.10585,2.79397,0.457143,0,0.246436
2000,B_w5_K100_c2.0_lr0.01_s2,0,0,0,4.37912,3.36079,0.4,0,0.443026
2000,B_w5_K100_c2.0_lr0.01_s3,0,0,0,4.41466,3.24552,0.457143,0,0.693868
2000,B_w5_K100_c2.0_lr0.01_s4,0,0,0,4.53319,3.60722,0.495238,0,0.417326
2000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.58236,3.29099,0.47619,0,0.227082
2000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.71136,4.12317,0.47619,0,0.0785041
2000,B_w5_K10000_c0.0_lr0.01_s2,0,0,0,4.75015,4.03207,0.476191,0,0.124271
2000,B_w5_K10000_c0.0_lr0.01_s3,0,0,0,4.6905,4.37917,0.495238,0,0.151922
2000,B_w5_K10000_c0.0_lr0.01_s4,0,0,0,4.61425,3.87218,0.504762,0,0.236523
2000,B_w5_K10000_c2.0_lr0.01_s0,0,0,0,4.24063,3.34639,0.485714,0,0.0589733
2000,B_w5_K10000_c2.0_lr0.01_s1,0,0,0,4.37516,3.36363,0.47619,0,0.123626
2000,B_w5_K10000_c2.0_lr0.01_s2,0,0,0,4.43933,4.03126,0.504762,0,0.0307358
2000,B_w5_K10000_c2.0_lr0.01_s3,0,0,0,4.23877,2.6889,0.476191,0,0.0687012
2000,B_w5_K10000_c2.0_lr0.01_s4,0,0,0,4.58098,3.5778,0.457143,0,0.15038
3000,B_w5_K100_c0.0_lr0.01_s0,0,0,0,4.85989,4.64379,0.457143,0,0.783181
3000,B_w5_K100_c0.0_lr0.01_s1,0,0,0,4.73775,4.05139,0.447619,0,0.61523
3000,B_w5_K100_c0.0_lr0.01_s2,0,0,0,4.77859,4.27979,0.466667,0,0.779309
3000,B_w5_K100_c0.0_lr0.01_s3,0,0,0,4.78579,4.27685,0.495238,0,0.488412
3000,B_w5_K100_c0.0_lr0.01_s4,0,0,0,4.77058,4.61722,0.533333,0,0.247202
3000,B_w5_K100_c2.0_lr0.01_s0,0,0,0,4.48366,3.82026,0.447619,0,0.359132
3000,B_w5_K100_c2.0_lr0.01_s1,0,0,0,4.26296,2.98423,0.457143,0,0.757325
3000,B_w5_K100_c2.0_lr0.01_s2,0,0,0,4.4956,3.75596,0.457143,0,1.19058
3000,B_w5_K100_c2.0_lr0.01_s3,0,0,0,4.61449,3.8953,0.47619,0,0.281263
3000,B_w5_K100_c2.0_lr0.01_s4,0,0,0,4.41212,3.42136,0.514286,0,0.926338
3000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.53711,3.08702,0.47619,0,0.190522
3000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.68994,3.92924,0.466667,0,0.0658611
