step,run_id,loss
100,B_w5_K100_c0.0_lr0.01_s0,0.712271
100,B_w5_K100_c0.0_lr0.01_s1,1.29231
100,B_w5_K100_c0.0_lr0.01_s2,1.45292
100,B_w5_K100_c0.0_lr0.01_s3,0.96637
100,B_w5_K100_c0.0_lr0.01_s4,1.25633
100,B_w5_K100_c2.0_lr0.01_s0,1.09473
100,B_w5_K100_c2.0_lr0.01_s1,1.75148
100,B_w5_K100_c2.0_lr0.01_s2,0.946772
100,B_w5_K100_c2.0_lr0.01_s3,0.789259
100,B_w5_K100_c2.0_lr0.01_s4,0.95751
100,B_w5_K10000_c0.0_lr0.01_s0,1.95462
100,B_w5_K10000_c0.0_lr0.01_s1,0.732365
100,B_w5_K10000_c0.0_lr0.01_s2,1.1425
100,B_w5_K10000_c0.0_lr0.01_s3,0.892633
100,B_w5_K10000_c0.0_lr0.01_s4,0.953229
100,B_w5_K10000_c2.0_lr0.01_s0,1.04477
100,B_w5_K10000_c2.0_lr0.01_s1,0.911733
100,B_w5_K10000_c2.0_lr0.01_s2,0.793753
100,B_w5_K10000_c2.0_lr0.01_s3,0.400179
100,B_w5_K10000_c2.0_lr0.01_s4,0.927162
200,B_w5_K100_c0.0_lr0.01_s0,0.767241
200,B_w5_K100_c0.0_lr0.01_s1,0.256838
200,B_w5_K100_c0.0_lr0.01_s2,1.14763
200,B_w5_K100_c0.0_lr0.01_s3,0.59001
200,B_w5_K100_c0.0_lr0.01_s4,0.575666
200,B_w5_K100_c2.0_lr0.01_s0,0.313686
200,B_w5_K100_c2.0_lr0.01_s1,1.16073
200,B_w5_K100_c2.0_lr0.01_s2,0.326546
200,B_w5_K100_c2.0_lr0.01_s3,0.616419
200,B_w5_K100_c2.0_lr0.01_s4,0.709735
200,B_w5_K10000_c0.0_lr0.01_s0,0.624509
200,B_w5_K10000_c0.0_lr0.01_s1,0.3443
200,B_w5_K10000_c0.0_lr0.01_s2,0.987648
200,B_w5_K10000_c0.0_lr0.01_s3,0.596796
200,B_w5_K10000_c0.0_lr0.01_s4,0.626984
200,B_w5_K10000_c2.0_lr0.01_s0,0.566356
200,B_w5_K10000_c2.0_lr0.01_s1,0.368511
200,B_w5_K10000_c2.0_lr0.01_s2,0.440745
200,B_w5_K10000_c2.0_lr0.01_s3,0.140878
200,B_w5_K10000_c2.0_lr0.01_s4,0.728757
300,B_w5_K100_c0.0_lr0.01_s0,0.930634
300,B_w5_K100_c0.0_lr0.01_s1,0.592939
300,B_w5_K100_c0.0_lr0.01_s2,0.405996
300,B_w5_K100_c0.0_lr0.01_s3,0.869242
300,B_w5_K100_c0.0_lr0.01_s4,0.527386
300,B_w5_K100_c2.0_lr0.01_s0,0.79439
300,B_w5_K100_c2.0_lr0.01_s1,0.900162
300,B_w5_K100_c2.0_lr0.01_s2,1.05758
300,B_w5_K100_c2.0_lr0.01_s3,0.260408
300,B_w5_K100_c2.0_lr0.01_s4,1.06955
300,B_w5_K10000_c0.0_lr0.01_s0,0.545118
300,B_w5_K10000_c0.0_lr0.01_s1,0.256568
300,B_w5_K10000_c0.0_lr0.01_s2,0.58916
300,B_w5_K10000_c0.0_lr0.01_s3,0.499589
300,B_w5_K10000_c0.0_lr0.01_s4,0.584221
300,B_w5_K10000_c2.0_lr0.01_s0,0.264055
300,B_w5_K10000_c2.0_lr0.01_s1,0.413923
300,B_w5_K10000_c2.0_lr0.01_s2,0.141316
300,B_w5_K10000_c2.0_lr0.01_s3,0.103341
300,B_w5_K10000_c2.0_lr0.01_s4,0.661061
400,B_w5_K100_c0.0_lr0.01_s0,1.18536
400,B_w5_K100_c0.0_lr0.01_s1,0.969373
400,B_w5_K100_c0.0_lr0.01_s2,0.725259
400,B_w5_K100_c0.0_lr0.01_s3,0.320943
400,B_w5_K100_c0.0_lr0.01_s4,0.428977
400,B_w5_K100_c2.0_lr0.01_s0,0.611994
400,B_w5_K100_c2.0_lr0.01_s1,0.51874
400,B_w5_K100_c2.0_lr0.01_s2,0.587659
400,B_w5_K100_c2.0_lr0.01_s3,0.506256
400,B_w5_K100_c2.0_lr0.01_s4,0.879654
400,B_w5_K10000_c0.0_lr0.01_s0,0.27555
400,B_w5_K10000_c0.0_lr0.01_s1,0.294369
400,B_w5_K10000_c0.0_lr0.01_s2,0.335291
400,B_w5_K10000_c0.0_lr0.01_s3,0.506195
400,B_w5_K10000_c0.0_lr0.01_s4,0.342035
400,B_w5_K10000_c2.0_lr0.01_s0,0.209624
400,B_w5_K10000_c2.0_lr0.01_s1,0.363777
400,B_w5_K10000_c2.0_lr0.01_s2,0.17418
400,B_w5_K10000_c2.0_lr0.01_s3,0.150669
400,B_w5_K10000_c2.0_lr0.01_s4,0.494412
500,B_w5_K100_c0.0_lr0.01_s0,1.13075
500,B_w5_K100_c0.0_lr0.01_s1,1.22148
500,B_w5_K100_c0.0_lr0.01_s2,0.231508
500,B_w5_K100_c0.0_lr0.01_s3,1.083
500,B_w5_K100_c0.0_lr0.01_s4,0.155721
500,B_w5_K100_c2.0_lr0.01_s0,0.528958
500,B_w5_K100_c2.0_lr0.01_s1,1.20808
500,B_w5_K100_c2.0_lr0.01_s2,1.91319
500,B_w5_K100_c2.0_lr0.01_s3,0.444704
500,B_w5_K100_c2.0_lr0.01_s4,0.64118
500,B_w5_K10000_c0.0_lr0.01_s0,0.316817
500,B_w5_K10000_c0.0_lr0.01_s1,0.374159
500,B_w5_K10000_c0.0_lr0.01_s2,0.284716
500,B_w5_K10000_c0.0_lr0.01_s3,0.372257
500,B_w5_K10000_c0.0_lr0.01_s4,0.513303
500,B_w5_K10000_c2.0_lr0.01_s0,0.18041
500,B_w5_K10000_c2.0_lr0.01_s1,0.369528
500,B_w5_K10000_c2.0_lr0.01_s2,0.126698
500,B_w5_K10000_c2.0_lr0.01_s3,0.0690258
500,B_w5_K10000_c2.0_lr0.01_s4,0.262056
600,B_w5_K100_c0.0_lr0.01_s0,0.449863
600,B_w5_K100_c0.0_lr0.01_s1,0.739273
600,B_w5_K100_c0.0_lr0.01_s2,0.792576
600,B_w5_K100_c0.0_lr0.01_s3,0.666084
600,B_w5_K100_c0.0_lr0.01_s4,0.257113
600,B_w5_K100_c2.0_lr0.01_s0,0.658543
600,B_w5_K100_c2.0_lr0.01_s1,0.305979
600,B_w5_K100_c2.0_lr0.01_s2,0.661918
600,B_w5_K100_c2.0_lr0.01_s3,1.38839
600,B_w5_K100_c2.0_lr0.01_s4,0.566287
600,B_w5_K10000_c0.0_lr0.01_s0,0.287211
600,B_w5_K10000_c0.0_lr0.01_s1,0.276415
600,B_w5_K10000_c0.0_lr0.01_s2,0.173423
600,B_w5_K10000_c0.0_lr0.01_s3,0.393465
600,B_w5_K10000_c0.0_lr0.01_s4,0.292377
600,B_w5_K10000_c2.0_lr0.01_s0,0.125334
600,B_w5_K10000_c2.0_lr0.01_s1,0.265878
600,B_w5_K10000_c2.0_lr0.01_s2,0.0946743
600,B_w5_K10000_c2.0_lr0.01_s3,0.102931
600,B_w5_K10000_c2.0_lr0.01_s4,0.263869
700,B_w5_K100_c0.0_lr0.01_s0,1.23811
700,B_w5_K100_c0.0_lr0.01_s1,0.783544
700,B_w5_K100_c0.0_lr0.01_s2,0.573163
700,B_w5_K100_c0.0_lr0.01_s3,0.586965
700,B_w5_K100_c0.0_lr0.01_s4,0.660131
700,B_w5_K100_c2.0_lr0.01_s0,0.349296
700,B_w5_K100_c2.0_lr0.01_s1,0.396286
700,B_w5_K100_c2.0_lr0.01_s2,0.985182
700,B_w5_K100_c2.0_lr0.01_s3,0.937814
700,B_w5_K100_c2.0_lr0.01_s4,0.804435
700,B_w5_K10000_c0.0_lr0.01_s0,0.210406
700,B_w5_K10000_c0.0_lr0.01_s1,0.184121
700,B_w5_K10000_c0.0_lr0.01_s2,0.134063
700,B_w5_K10000_c0.0_lr0.01_s3,0.263368
700,B_w5_K10000_c0.0_lr0.01_s4,0.233585
700,B_w5_K10000_c2.0_lr0.01_s0,0.173365
700,B_w5_K10000_c2.0_lr0.01_s1,0.175596
700,B_w5_K10000_c2.0_lr0.01_s2,0.105389
700,B_w5_K10000_c2.0_lr0.01_s3,0.114114
700,B_w5_K10000_c2.0_lr0.01_s4,0.227164
800,B_w5_K100_c0.0_lr0.01_s0,0.956542
800,B_w5_K100_c0.0_lr0.01_s1,1.08408
800,B_w5_K100_c0.0_lr0.01_s2,0.22754
800,B_w5_K100_c0.0_lr0.01_s3,0.462357
800,B_w5_K100_c0.0_lr0.01_s4,0.503323
800,B_w5_K100_c2.0_lr0.01_s0,1.76796
800,B_w5_K100_c2.0_lr0.01_s1,0.710288
800,B_w5_K100_c2.0_lr0.01_s2,0.466407
800,B_w5_K100_c2.0_lr0.01_s3,0.464497
800,B_w5_K100_c2.0_lr0.01_s4,0.314669
800,B_w5_K10000_c0.0_lr0.01_s0,0.308382
800,B_w5_K10000_c0.0_lr0.01_s1,0.270763
800,B_w5_K10000_c0.0_lr0.01_s2,0.176869
800,B_w5_K10000_c0.0_lr0.01_s3,0.285262
800,B_w5_K10000_c0.0_lr0.01_s4,0.36359
800,B_w5_K10000_c2.0_lr0.01_s0,0.121948
800,B_w5_K10000_c2.0_lr0.01_s1,0.168688
800,B_w5_K10000_c2.0_lr0.01_s2,0.0570378
800,B_w5_K10000_c2.0_lr0.01_s3,0.0837088
800,B_w5_K10000_c2.0_lr0.01_s4,0.204332
900,B_w5_K100_c0.0_lr0.01_s0,0.462447
900,B_w5_K100_c0.0_lr0.01_s1,0.15107
900,B_w5_K100_c0.0_lr0.01_s2,0.619332
900,B_w5_K100_c0.0_lr0.01_s3,0.535488
900,B_w5_K100_c0.0_lr0.01_s4,0.517764
900,B_w5_K100_c2.0_lr0.01_s0,0.976318
900,B_w5_K100_c2.0_lr0.01_s1,1.32735
900,B_w5_K100_c2.0_lr0.01_s2,0.833438
900,B_w5_K100_c2.0_lr0.01_s3,0.793807
900,B_w5_K100_c2.0_lr0.01_s4,0.421921
900,B_w5_K10000_c0.0_lr0.01_s0,0.232711
900,B_w5_K10000_c0.0_lr0.01_s1,0.236101
900,B_w5_K10000_c0.0_lr0.01_s2,0.134075
900,B_w5_K10000_c0.0_lr0.01_s3,0.256257
900,B_w5_K10000_c0.0_lr0.01_s4,0.290333
900,B_w5_K10000_c2.0_lr0.01_s0,0.198296
900,B_w5_K10000_c2.0_lr0.01_s1,0.155842
900,B_w5_K10000_c2.0_lr0.01_s2,0.0802302
900,B_w5_K10000_c2.0_lr0.01_s3,0.0877182
900,B_w5_K10000_c2.0_lr0.01_s4,0.158121
1000,B_w5_K100_c0.0_lr0.01_s0,0.511519
1000,B_w5_K100_c0.0_lr0.01_s1,0.336476
1000,B_w5_K100_c0.0_lr0.01_s2,0.568616
1000,B_w5_K100_c0.0_lr0.01_s3,0.62607
1000,B_w5_K100_c0.0_lr0.01_s4,0.434204
1000,B_w5_K100_c2.0_lr0.01_s0,1.59403
1000,B_w5_K100_c2.0_lr0.01_s1,1.49752
1000,B_w5_K100_c2.0_lr0.01_s2,1.58
1000,B_w5_K100_c2.0_lr0.01_s3,1.19108
1000,B_w5_K100_c2.0_lr0.01_s4,0.712513
1000,B_w5_K10000_c0.0_lr0.01_s0,0.252351
1000,B_w5_K10000_c0.0_lr0.01_s1,0.25872
1000,B_w5_K10000_c0.0_lr0.01_s2,0.138244
1000,B_w5_K10000_c0.0_lr0.01_s3,0.23697
1000,B_w5_K10000_c0.0_lr0.01_s4,0.32928
1000,B_w5_K10000_c2.0_lr0.01_s0,0.141047
1000,B_w5_K10000_c2.0_lr0.01_s1,0.156147
1000,B_w5_K10000_c2.0_lr0.01_s2,0.0874858
1000,B_w5_K10000_c2.0_lr0.01_s3,0.0870974
1000,B_w5_K10000_c2.0_lr0.01_s4,0.182355
1100,B_w5_K100_c0.0_lr0.01_s0,0.851514
1100,B_w5_K100_c0.0_lr0.01_s1,0.51646
1100,B_w5_K100_c0.0_lr0.01_s2,0.48575
1100,B_w5_K100_c0.0_lr0.01_s3,0.5173
1100,B_w5_K100_c0.0_lr0.01_s4,1.01164
1100,B_w5_K100_c2.0_lr0.01_s0,0.567158
1100,B_w5_K100_c2.0_lr0.01_s1,0.99161
1100,B_w5_K100_c2.0_lr0.01_s2,0.688339
1100,B_w5_K100_c2.0_lr0.01_s3,1.98024
1100,B_w5_K100_c2.0_lr0.01_s4,0.927435
1100,B_w5_K10000_c0.0_lr0.01_s0,0.279601
1100,B_w5_K10000_c0.0_lr0.01_s1,0.167242
1100,B_w5_K10000_c0.0_lr0.01_s2,0.102355
1100,B_w5_K10000_c0.0_lr0.01_s3,0.215461
1100,B_w5_K10000_c0.0_lr0.01_s4,0.252911
1100,B_w5_K10000_c2.0_lr0.01_s0,0.126334
1100,B_w5_K10000_c2.0_lr0.01_s1,0.093834
1100,B_w5_K10000_c2.0_lr0.01_s2,0.059683
1100,B_w5_K10000_c2.0_lr0.01_s3,0.0957581
1100,B_w5_K10000_c2.0_lr0.01_s4,0.155126
1200,B_w5_K100_c0.0_lr0.01_s0,0.481396
1200,B_w5_K100_c0.0_lr0.01_s1,0.784005
1200,B_w5_K100_c0.0_lr0.01_s2,1.01553
1200,B_w5_K100_c0.0_lr0.01_s3,1.10453
1200,B_w5_K100_c0.0_lr0.01_s4,0.887812
1200,B_w5_K100_c2.0_lr0.01_s0,1.00158
1200,B_w5_K100_c2.0_lr0.01_s1,0.464646
1200,B_w5_K100_c2.0_lr0.01_s2,2.00431
1200,B_w5_K100_c2.0_lr0.01_s3,1.20402
1200,B_w5_K100_c2.0_lr0.01_s4,0.326208
1200,B_w5_K10000_c0.0_lr0.01_s0,0.191621
